Items,Antecedent,Consequent,Support,Confidence,Lift
"MajorContributor, +Complexity",MajorContributor,+Complexity,0.24128440366972478,0.32957393483709274,1.3659147869674184
"+Contributor, -Coupling",+Contributor,-Coupling,0.08807339449541285,0.31475409836065577,1.874764848159097
"MajorContributor, +Coupling",MajorContributor,+Coupling,0.29541284403669726,0.4035087719298246,1.3491550963297816
"+Size, LowChangeSet",LowChangeSet,+Size,0.14954128440366973,0.3052434456928839,1.0268992463124798
"+Size, MajorContributor",MajorContributor,+Size,0.28990825688073396,0.3959899749373434,1.332188495931186
"-Coupling, MinorContributor",MinorContributor,-Coupling,0.081651376146789,0.3047945205479452,1.8154427726626243
"-Size, LowChangeSet",LowChangeSet,-Size,0.15504587155963304,0.31647940074906367,1.2544092611508342
"+Size, MajorContributor, +Complexity",MajorContributor,"+Size, +Complexity",0.23394495412844038,0.31954887218045114,1.3659147869674184
"+Contributor, LowChangeSet, -Cohesion","+Contributor, LowChangeSet",-Cohesion,0.03577981651376147,0.52,3.7289473684210526
"+Contributor, LowChangeSet, -Complexity","+Contributor, LowChangeSet",-Complexity,0.03944954128440367,0.5733333333333334,6.126797385620915
"+Contributor, -Coupling, HighHunksCount","+Contributor, HighHunksCount",-Coupling,0.04128440366972477,0.3191489361702128,1.9009417509591908
"+Contributor, -Coupling, LowChangeSet","+Contributor, LowChangeSet",-Coupling,0.03853211009174312,0.56,3.33551912568306
"+Contributor, -Coupling, MinorContributor","+Contributor, MinorContributor",-Coupling,0.08073394495412844,0.3066202090592335,1.8263170922107348
"+Contributor, -Size, LowChangeSet","+Contributor, LowChangeSet",-Size,0.04220183486238532,0.6133333333333333,2.431030303030303
"HighHunksCount, MajorContributor, +Coupling","MajorContributor, HighHunksCount",+Coupling,0.0889908256880734,0.3099041533546326,1.0361825986397224
"LowCodeChurn, LowChangeSet, +Coupling","LowCodeChurn, LowChangeSet",+Coupling,0.10550458715596331,0.3248587570621469,1.086184187723129
"LowChangeSet, MajorContributor, +Coupling","LowChangeSet, MajorContributor",+Coupling,0.14220183486238533,0.33405172413793105,1.1169214089274382
"LowCodeChurn, MajorContributor, +Coupling","LowCodeChurn, MajorContributor",+Coupling,0.12935779816513762,0.34558823529411764,1.1554944063514976
"+Size, MajorContributor, HighHunksCount","MajorContributor, HighHunksCount",+Size,0.0889908256880734,0.3099041533546326,1.0425787875202146
"+Size, LowCodeChurn, LowChangeSet","LowCodeChurn, LowChangeSet",+Size,0.10550458715596331,0.3248587570621469,1.0928890283880868
"+Size, LowChangeSet, MajorContributor","LowChangeSet, MajorContributor",+Size,0.14770642201834863,0.34698275862068967,1.1673185398041719
"LowChangeSet, -Cohesion, MinorContributor","LowChangeSet, MinorContributor",-Cohesion,0.03302752293577982,0.5142857142857142,3.6879699248120295
"MinorContributor, LowChangeSet, -Complexity","LowChangeSet, MinorContributor",-Complexity,0.03577981651376147,0.5571428571428572,5.953781512605042
"-Coupling, LowChangeSet, MinorContributor","LowChangeSet, MinorContributor",-Coupling,0.03486238532110092,0.5428571428571428,3.233411397345823
"-Size, LowChangeSet, HighHunksCount","LowChangeSet, HighHunksCount",-Size,0.07614678899082569,0.3672566371681416,1.4556717618664523
"LowCodeChurn, -Size, HighHunksCount","LowCodeChurn, HighHunksCount",-Size,0.06605504587155964,0.3444976076555024,1.3654632448890824
"-Size, MajorContributor, HighHunksCount","MajorContributor, HighHunksCount",-Size,0.1018348623853211,0.354632587859425,1.4056346209700845
"-Size, LowChangeSet, MinorContributor","LowChangeSet, MinorContributor",-Size,0.03853211009174312,0.6,2.3781818181818184
"LowCodeChurn, -Size, MajorContributor","LowCodeChurn, MajorContributor",-Size,0.11834862385321102,0.3161764705882353,1.2532085561497326
"+Contributor, LowChangeSet, -Cohesion, -Complexity","+Contributor, LowChangeSet","-Cohesion, -Complexity",0.03302752293577982,0.48,10.061538461538461
