Items,Antecedent,Consequent,Support,Confidence,Lift
+Coupling,,+Coupling,0.32763466042154565,0.32763466042154565,1.0
+Size,,+Size,0.3704918032786885,0.3704918032786885,1.0
"+WordsPerComment, +Complexity",+WordsPerComment,+Complexity,0.03747072599531616,0.3285420944558522,1.156533176691252
"ExtractionRefactoring, +Complexity",ExtractionRefactoring,+Complexity,0.01920374707259953,0.38862559241706157,1.368038977428568
"+Complexity, HighHunksCount",HighHunksCount,+Complexity,0.10983606557377049,0.35,1.2320692497938994
"LowChangeSet, +Complexity",LowChangeSet,+Complexity,0.13325526932084308,0.3954134815844336,1.391933690326077
"LowCodeChurn, +Complexity",LowCodeChurn,+Complexity,0.12060889929742388,0.3401585204755614,1.1974252946666506
"MajorContributor, +Complexity",MajorContributor,+Complexity,0.23817330210772833,0.3314863102998696,1.1668973989945945
"RenameRefactoring, +Complexity",RenameRefactoring,+Complexity,0.0117096018735363,0.3496503496503497,1.230838411382517
"+Contributor, +Coupling",+Contributor,+Coupling,0.1288056206088993,0.3481012658227848,1.0624677663068556
"+Size, +Contributor",+Contributor,+Size,0.1505854800936768,0.40696202531645564,1.0984373249691943
"+NumPullRequests, +Coupling",+NumPullRequests,+Coupling,0.21030444964871195,0.3259528130671506,0.9948666989254705
"+WordsPerComment, +Coupling",+WordsPerComment,+Coupling,0.03629976580796253,0.3182751540041068,0.9714331004985961
"ExtractionRefactoring, +Coupling",ExtractionRefactoring,+Coupling,0.01920374707259953,0.38862559241706157,1.1861553106653702
"HighHunksCount, +Coupling",HighHunksCount,+Coupling,0.12388758782201405,0.394776119402985,1.2049278269126134
"LowChangeSet, +Coupling",LowChangeSet,+Coupling,0.12857142857142856,0.3815149409312022,1.16445232149838
"LowCodeChurn, +Coupling",LowCodeChurn,+Coupling,0.11428571428571428,0.3223249669749009,0.9837938591728569
"MajorContributor, +Coupling",MajorContributor,+Coupling,0.25175644028103045,0.35039113428943935,1.0694568573380314
"RenameRefactoring, +Coupling",RenameRefactoring,+Coupling,0.011475409836065573,0.34265734265734266,1.0458519321993232
"+Size, +NumPullRequests",+NumPullRequests,+Size,0.2224824355971897,0.3448275862068965,0.9307293256026853
"+Size, +WordsInDiscussion",+WordsInDiscussion,+Size,0.08665105386416862,0.31329381879762913,0.8456160595865211
"+Size, +WordsPerComment",+WordsPerComment,+Size,0.04590163934426229,0.4024640657084189,1.0862968145227236
"+Size, ExtractionRefactoring",ExtractionRefactoring,+Size,0.029508196721311476,0.5971563981042654,1.6117938178920437
"+Size, HighHunksCount",HighHunksCount,+Size,0.1358313817330211,0.4328358208955224,1.1682736758684455
"+Size, LowChangeSet",LowChangeSet,+Size,0.1702576112412178,0.5052119527449618,1.3636251821877288
"+Size, LowCodeChurn",LowCodeChurn,+Size,0.15644028103044497,0.44121532364597094,1.1908909178054967
"+Size, MajorContributor",MajorContributor,+Size,0.29414519906323183,0.40938722294654495,1.1049832123778425
"+Size, RenameRefactoring",RenameRefactoring,+Size,0.01639344262295082,0.4895104895104896,1.3212451265548613
"ExtractionRefactoring, -Cohesion",ExtractionRefactoring,-Cohesion,0.023653395784543327,0.4786729857819905,2.5327554514115236
"RenameRefactoring, -Cohesion",RenameRefactoring,-Cohesion,0.01053864168618267,0.3146853146853147,1.6650635609743416
"ExtractionRefactoring, -Complexity",ExtractionRefactoring,-Complexity,0.01686182669789227,0.34123222748815163,1.9823967501692619
"RenameRefactoring, -Complexity",RenameRefactoring,-Complexity,0.010070257611241218,0.30069930069930073,1.746919746919747
"-Size, MoveRefactoring",MoveRefactoring,-Size,0.010304449648711944,0.6285714285714286,3.2182254196642686
"RenameRefactoring, -Size",RenameRefactoring,-Size,0.010070257611241218,0.30069930069930073,1.5395515755227986
"+Contributor, +WordsPerComment, +Complexity","+Contributor, +WordsPerComment",+Complexity,0.026932084309133488,0.3402366863905325,1.1977004541529874
"+Contributor, +Complexity, HighHunksCount","+Contributor, HighHunksCount",+Complexity,0.03911007025761124,0.33333333333333337,1.1733992855179995
"+Contributor, LowChangeSet, +Complexity","+Contributor, LowChangeSet",+Complexity,0.06252927400468385,0.4033232628398792,1.4197776853473076
"+Contributor, LowCodeChurn, +Complexity","+Contributor, LowCodeChurn",+Complexity,0.058782201405152223,0.3621933621933622,1.2749922972511596
"+Contributor, MajorContributor, +Complexity","+Contributor, MajorContributor",+Complexity,0.07517564402810305,0.4355495251017639,1.5332205046863412
"+NumPullRequests, +WordsPerComment, +Complexity","+NumPullRequests, +WordsPerComment",+Complexity,0.028337236533957845,0.32180851063829785,1.1328296293697706
"ExtractionRefactoring, +NumPullRequests, +Complexity","ExtractionRefactoring, +NumPullRequests",+Complexity,0.01053864168618267,0.3435114503816794,1.209228271335343
"+NumPullRequests, +Complexity, HighHunksCount","+NumPullRequests, HighHunksCount",+Complexity,0.06276346604215456,0.3052391799544419,1.0745023070119264
"+NumPullRequests, LowChangeSet, +Complexity","+NumPullRequests, LowChangeSet",+Complexity,0.07470725995316159,0.39382716049382716,1.3863495262231178
"LowCodeChurn, +NumPullRequests, +Complexity","LowCodeChurn, +NumPullRequests",+Complexity,0.06744730679156909,0.3235955056179775,1.1391202052669118
"MajorContributor, +NumPullRequests, +Complexity","+NumPullRequests, MajorContributor",+Complexity,0.1379391100702576,0.30661114003123374,1.0793318779335268
"+Size, ExtractionRefactoring, +Complexity",ExtractionRefactoring,"+Size, +Complexity",0.017330210772833723,0.3507109004739336,1.5035497439996952
"+Size, LowChangeSet, +Complexity",LowChangeSet,"+Size, +Complexity",0.11311475409836065,0.33564975677553854,1.4389803829634031
"+WordsPerComment, +WordsInDiscussion, +Complexity","+WordsPerComment, +WordsInDiscussion",+Complexity,0.03747072599531616,0.3285420944558522,1.156533176691252
"+WordsInDiscussion, +Complexity, HighHunksCount","+WordsInDiscussion, HighHunksCount",+Complexity,0.03395784543325527,0.30208333333333337,1.063393102500687
"+WordsInDiscussion, +Complexity, LowChangeSet","+WordsInDiscussion, LowChangeSet",+Complexity,0.03325526932084309,0.3669250645994832,1.2916488259190382
"LowCodeChurn, +WordsInDiscussion, +Complexity","LowCodeChurn, +WordsInDiscussion",+Complexity,0.03138173302107728,0.3145539906103286,1.1072922835169854
"MajorContributor, +WordsInDiscussion, +Complexity","+WordsInDiscussion, MajorContributor",+Complexity,0.059250585480093675,0.30335731414868106,1.067877767036165
"+WordsPerComment, +Complexity, HighHunksCount","+WordsPerComment, HighHunksCount",+Complexity,0.01826697892271663,0.4406779661016949,1.551273631701762
"+WordsPerComment, +Complexity, LowChangeSet","+WordsPerComment, LowChangeSet",+Complexity,0.020608899297423888,0.4074074074074074,1.434154682299777
"LowCodeChurn, +WordsPerComment, +Complexity","LowCodeChurn, +WordsPerComment",+Complexity,0.020140515222482436,0.3510204081632653,1.235661288423036
"MajorContributor, +WordsPerComment, +Complexity","+WordsPerComment, MajorContributor",+Complexity,0.029039812646370025,0.4320557491289199,1.5209217219954558
"ExtractionRefactoring, +Complexity, HighHunksCount","ExtractionRefactoring, HighHunksCount",+Complexity,0.013583138173302109,0.37662337662337664,1.3257888031177396
"ExtractionRefactoring, LowChangeSet, +Complexity","ExtractionRefactoring, LowChangeSet",+Complexity,0.010070257611241218,0.5180722891566265,1.8237169618291798
"ExtractionRefactoring, MajorContributor, +Complexity","ExtractionRefactoring, MajorContributor",+Complexity,0.017330210772833723,0.4021739130434782,1.415731746657586
"LowChangeSet, +Complexity, HighHunksCount","LowChangeSet, HighHunksCount",+Complexity,0.047775175644028105,0.504950495049505,1.7775256503391477
"LowCodeChurn, +Complexity, HighHunksCount","LowCodeChurn, HighHunksCount",+Complexity,0.03770491803278689,0.4878787878787879,1.717429863349072
"MajorContributor, +Complexity, HighHunksCount","MajorContributor, HighHunksCount",+Complexity,0.10351288056206089,0.3830155979202773,1.348290686825708
"LowCodeChurn, LowChangeSet, +Complexity","LowCodeChurn, LowChangeSet",+Complexity,0.11311475409836065,0.3907766990291262,1.3756112983135769
"MajorContributor, LowChangeSet, +Complexity","LowChangeSet, MajorContributor",+Complexity,0.10585480093676815,0.4752891692954785,1.6731119149972737
"LowCodeChurn, MajorContributor, +Complexity","LowCodeChurn, MajorContributor",+Complexity,0.0936768149882904,0.4110996916752313,1.4471522534651589
