Items,Antecedent,Consequent,Support,Confidence,Lift
"+NumPullRequests, +Cohesion",+NumPullRequests,+Cohesion,0.01008533747090768,0.65,19.042045454545455
"+WordsInDiscussion, +Cohesion",+WordsInDiscussion,+Cohesion,0.01008533747090768,0.6190476190476191,18.135281385281388
"+WordsPerComment, +Cohesion",+WordsPerComment,+Cohesion,0.01008533747090768,0.6190476190476191,18.135281385281388
"+Size, LowChangeSet",LowChangeSet,+Size,0.023273855702094646,0.3157894736842105,2.7690655209452197
"HighCodeChurn, -Complexity",HighCodeChurn,-Complexity,0.09775019394879751,0.3405405405405405,2.4386486486486483
"HighHunksCount, -Complexity",HighHunksCount,-Complexity,0.03646237393328161,0.5108695652173912,3.658393719806763
"-Size, HighHunksCount",HighHunksCount,-Size,0.028704422032583398,0.4021739130434782,3.8117806905370837
"+Contributor, +NumPullRequests, +Cohesion","+Contributor, +NumPullRequests",+Cohesion,0.01008533747090768,0.65,19.042045454545455
"+Contributor, +WordsInDiscussion, +Cohesion","+Contributor, +WordsInDiscussion",+Cohesion,0.01008533747090768,0.6190476190476191,18.135281385281388
"+Contributor, +WordsPerComment, +Cohesion","+Contributor, +WordsPerComment",+Cohesion,0.01008533747090768,0.6190476190476191,18.135281385281388
"+NumPullRequests, +WordsInDiscussion, +Cohesion","+NumPullRequests, +WordsInDiscussion",+Cohesion,0.01008533747090768,0.6842105263157895,20.044258373205743
"+NumPullRequests, +WordsPerComment, +Cohesion","+NumPullRequests, +WordsPerComment",+Cohesion,0.01008533747090768,0.6842105263157895,20.044258373205743
"+WordsPerComment, +WordsInDiscussion, +Cohesion","+WordsPerComment, +WordsInDiscussion",+Cohesion,0.01008533747090768,0.6190476190476191,18.135281385281388
"+Contributor, HighCodeChurn, -Complexity","+Contributor, HighCodeChurn",-Complexity,0.09775019394879751,0.3405405405405405,2.4386486486486483
"+Contributor, HighHunksCount, -Complexity","+Contributor, HighHunksCount",-Complexity,0.03180760279286268,0.5256410256410255,3.7641737891737885
"+Contributor, -Size, HighHunksCount","+Contributor, HighHunksCount",-Size,0.02482544608223429,0.41025641025641024,3.8883861236802413
"+Size, LowCodeChurn, LowChangeSet","LowCodeChurn, LowChangeSet",+Size,0.018619084561675717,0.3,2.630612244897959
"+Size, LowChangeSet, MajorContributor","LowChangeSet, MajorContributor",+Size,0.015515903801396431,0.4444444444444444,3.897203325774754
"+Size, LowCodeChurn, MajorContributor","LowCodeChurn, MajorContributor",+Size,0.02094647013188518,0.3698630136986301,3.243220575901593
"HighChangeSet, HighCodeChurn, -Complexity","HighChangeSet, HighCodeChurn",-Complexity,0.09775019394879751,0.3405405405405405,2.4386486486486483
"HighHunksCount, HighChangeSet, -Complexity","HighChangeSet, HighHunksCount",-Complexity,0.02482544608223429,0.6808510638297873,4.8756501182033105
"HighChangeSet, MajorContributor, -Complexity","HighChangeSet, MajorContributor",-Complexity,0.06671838634600466,0.4174757281553399,2.9895900755124063
"HighHunksCount, HighCodeChurn, -Complexity","HighCodeChurn, HighHunksCount",-Complexity,0.02482544608223429,0.6808510638297873,4.8756501182033105
"MajorContributor, HighCodeChurn, -Complexity","MajorContributor, HighCodeChurn",-Complexity,0.06671838634600466,0.4455958549222798,3.190961427748993
"HighHunksCount, MajorContributor, -Complexity","MajorContributor, HighHunksCount",-Complexity,0.03335919317300233,0.511904761904762,3.6658068783068787
"-Size, HighChangeSet, HighHunksCount","HighChangeSet, HighHunksCount",-Size,0.019394879751745538,0.5319148936170213,5.041458072590738
"-Size, HighChangeSet, MajorContributor","HighChangeSet, MajorContributor",-Size,0.04809930178432894,0.3009708737864078,2.852584237578527
"-Size, HighCodeChurn, HighHunksCount","HighCodeChurn, HighHunksCount",-Size,0.019394879751745538,0.5319148936170213,5.041458072590738
"MajorContributor, -Size, HighCodeChurn","MajorContributor, HighCodeChurn",-Size,0.04809930178432894,0.3212435233160622,3.0447272173117956
"-Size, MajorContributor, HighHunksCount","MajorContributor, HighHunksCount",-Size,0.027928626842513578,0.4285714285714286,4.061974789915967
"+Contributor, +NumPullRequests, +WordsInDiscussion, +Cohesion","+Contributor, +NumPullRequests, +WordsInDiscussion",+Cohesion,0.01008533747090768,0.6842105263157895,20.044258373205743
"+Contributor, +NumPullRequests, +WordsPerComment, +Cohesion","+Contributor, +NumPullRequests, +WordsPerComment",+Cohesion,0.01008533747090768,0.6842105263157895,20.044258373205743
"+WordsPerComment, +Contributor, +WordsInDiscussion, +Cohesion","+WordsPerComment, +Contributor, +WordsInDiscussion",+Cohesion,0.01008533747090768,0.6190476190476191,18.135281385281388
"+WordsPerComment, +NumPullRequests, +WordsInDiscussion, +Cohesion","+WordsPerComment, +NumPullRequests, +WordsInDiscussion",+Cohesion,0.01008533747090768,0.6842105263157895,20.044258373205743
