Items,Antecedent,Consequent,Support,Confidence,Lift
"+Size, +Contributor",+Contributor,+Size,0.12050426399703375,0.33299180327868855,1.1513831967213115
"+WordsPerComment, +Coupling",+WordsPerComment,+Coupling,0.02521319985168706,0.3207547169811321,1.7096353195614888
"+Size, +NumPullRequests",+NumPullRequests,+Size,0.06488691138301816,0.45454545454545453,1.5716783216783214
"+Size, +WordsInDiscussion",+WordsInDiscussion,+Size,0.0582128290693363,0.4644970414201184,1.6060878470641784
"+Size, +WordsPerComment",+WordsPerComment,+Size,0.041898405635891735,0.5330188679245284,1.8430152394775037
"+Size, -WordsPerComment",-WordsPerComment,+Size,0.012235817575083427,0.5076923076923077,1.7554437869822483
"+Size, ExtractionRefactoring",ExtractionRefactoring,+Size,0.017797552836484983,0.5333333333333333,1.844102564102564
"+Size, HighHunksCount",HighHunksCount,+Size,0.05635891731553578,0.34703196347031967,1.1999297506146822
"+Size, LowChangeSet",LowChangeSet,+Size,0.06303299962921764,0.4557640750670241,1.5758919364817485
"+Size, LowCodeChurn",LowCodeChurn,+Size,0.06711160548757879,0.32437275985663083,1.1215811965811966
"ExtractionRefactoring, -Complexity",ExtractionRefactoring,-Complexity,0.011494252873563218,0.34444444444444444,4.788487972508591
"ExtractionRefactoring, -Coupling",ExtractionRefactoring,-Coupling,0.011123470522803115,0.33333333333333337,2.047835990888383
"ExtractionRefactoring, -Size",ExtractionRefactoring,-Size,0.014460511679644048,0.4333333333333333,1.8091331269349844
"-Size, HighCodeChurn",HighCodeChurn,-Size,0.0878754171301446,0.3003802281368821,1.2540642032278189
"-Size, HighHunksCount",HighHunksCount,-Size,0.06637004078605858,0.40867579908675805,1.7061898299334157
"LowChangeSet, +Cohesion, HighHunksCount","LowChangeSet, HighHunksCount",+Cohesion,0.012235817575083427,0.37500000000000006,4.839114832535886
"LowChangeSet, +Complexity, HighHunksCount","LowChangeSet, HighHunksCount",+Complexity,0.012235817575083427,0.37500000000000006,5.2132731958762895
"+Size, +Contributor, +NumPullRequests","+Contributor, +NumPullRequests",+Size,0.03596588802373007,0.4898989898989899,1.6939199689199687
"+Size, +Contributor, +WordsInDiscussion","+Contributor, +WordsInDiscussion",+Size,0.03299962921764924,0.52046783625731,1.79961763382816
