Items,Antecedent,Consequent,Support,Confidence,Lift
"ExtractionRefactoring, +Cohesion",ExtractionRefactoring,+Cohesion,0.011494252873563218,0.5454545454545454,6.058027079303675
"MoveRefactoring, +Cohesion",MoveRefactoring,+Cohesion,0.011494252873563218,0.5454545454545454,6.058027079303675
"ExtractionRefactoring, +Complexity",ExtractionRefactoring,+Complexity,0.013409961685823755,0.6363636363636364,3.460227272727273
"+Complexity, HighHunksCount",HighHunksCount,+Complexity,0.06321839080459771,0.33,1.794375
"LowChangeSet, +Complexity",LowChangeSet,+Complexity,0.06321839080459771,0.41772151898734183,2.271360759493671
"ExtractionRefactoring, +Coupling",ExtractionRefactoring,+Coupling,0.013409961685823755,0.6363636363636364,4.258741258741258
"+Size, +NumPullRequests",+NumPullRequests,+Size,0.10344827586206896,0.3050847457627119,1.2843083652269
"+Size, ExtractionRefactoring",ExtractionRefactoring,+Size,0.013409961685823755,0.6363636363636364,2.6788856304985336
"+Size, HighHunksCount",HighHunksCount,+Size,0.07662835249042145,0.39999999999999997,1.6838709677419352
"+Size, LowChangeSet",LowChangeSet,+Size,0.06896551724137931,0.45569620253164556,1.9183340138832174
"+Size, LowCodeChurn",LowCodeChurn,+Size,0.07088122605363985,0.3627450980392157,1.5270398481973433
"-Size, HighHunksCount",HighHunksCount,-Size,0.05747126436781609,0.3,2.1452054794520548
"-Size, MoveRefactoring",MoveRefactoring,-Size,0.011494252873563218,0.5454545454545454,3.900373599003736
"+NumPullRequests, +Cohesion, HighHunksCount","+NumPullRequests, HighHunksCount",+Cohesion,0.02681992337164751,0.3111111111111111,3.4553191489361703
"+WordsPerComment, +Cohesion, HighHunksCount","+WordsPerComment, HighHunksCount",+Cohesion,0.01532567049808429,0.3333333333333333,3.702127659574468
"ExtractionRefactoring, +Cohesion, MajorContributor","ExtractionRefactoring, MajorContributor",+Cohesion,0.011494252873563218,0.6666666666666666,7.404255319148936
"MoveRefactoring, +Cohesion, HighHunksCount","MoveRefactoring, HighHunksCount",+Cohesion,0.011494252873563218,0.8571428571428571,9.519756838905774
"MoveRefactoring, +Cohesion, MajorContributor","MoveRefactoring, MajorContributor",+Cohesion,0.011494252873563218,0.75,8.329787234042554
"+Contributor, LowChangeSet, +Complexity","+Contributor, LowChangeSet",+Complexity,0.0210727969348659,0.3548387096774194,1.929435483870968
"+NumPullRequests, +Complexity, HighHunksCount","+NumPullRequests, HighHunksCount",+Complexity,0.028735632183908046,0.3333333333333333,1.8125
"+NumPullRequests, LowChangeSet, +Complexity","+NumPullRequests, LowChangeSet",+Complexity,0.022988505747126436,0.3636363636363636,1.977272727272727
"LowCodeChurn, +NumPullRequests, +Complexity","LowCodeChurn, +NumPullRequests",+Complexity,0.02490421455938697,0.3170731707317073,1.7240853658536586
