Items,Antecedent,Consequent,Support,Confidence,Lift
"+Size, LowChangeSet",LowChangeSet,+Size,0.050148746281342964,0.3155080213903743,1.5135379700949048
"+Size, MajorContributor",MajorContributor,+Size,0.12770930726731833,0.30307614725163895,1.4539004576617869
"HighHunksCount, -Complexity",HighHunksCount,-Complexity,0.05227369315767106,0.3,2.1653374233128835
"-Coupling, HighHunksCount",HighHunksCount,-Coupling,0.06268593285167871,0.3597560975609756,2.1322571726976713
"-Size, HighHunksCount",HighHunksCount,-Size,0.0762855928601785,0.4378048780487805,2.1619199959051008
"LowChangeSet, +Cohesion, HighHunksCount","LowChangeSet, HighHunksCount",+Cohesion,0.012537186570335741,0.329608938547486,3.6931896781058793
"+Size, +Contributor, HighHunksCount","+Contributor, HighHunksCount",+Size,0.023161920951976202,0.31321839080459773,1.5025542784163475
"+Size, +Contributor, LowChangeSet","+Contributor, LowChangeSet",+Size,0.02252443688907777,0.30028328611898014,1.4405026956941085
"+Size, +Contributor, MajorContributor","+Contributor, MajorContributor",+Size,0.05418614534636634,0.44117647058823534,2.1163878395394855
"+Contributor, -Size, HighHunksCount","+Contributor, HighHunksCount",-Size,0.02634934126646834,0.3563218390804598,1.7595493963406545
"+Size, +NumPullRequests, LowChangeSet","+NumPullRequests, LowChangeSet",+Size,0.01827454313642159,0.30604982206405695,1.4681656092084119
"+NumPullRequests, HighHunksCount, -Complexity","+NumPullRequests, HighHunksCount",-Complexity,0.02804929876753081,0.3316582914572864,2.39384036748158
"+NumPullRequests, -Coupling, HighHunksCount","+NumPullRequests, HighHunksCount",-Coupling,0.0371865703357416,0.4396984924623116,2.606071921319444
"-Size, +NumPullRequests, HighHunksCount","+NumPullRequests, HighHunksCount",-Size,0.040798980025499365,0.48241206030150763,2.382194287281107
"-Size, +NumPullRequests, LowChangeSet","+NumPullRequests, LowChangeSet",-Size,0.01997450063748406,0.33451957295373663,1.651887838741117
"+Size, +WordsInDiscussion, LowChangeSet","+WordsInDiscussion, LowChangeSet",+Size,0.020399490012749683,0.3356643356643357,1.6102307478454267
"+Size, +WordsPerComment, HighHunksCount","+WordsPerComment, HighHunksCount",+Size,0.011474713132171696,0.32926829268292684,1.5795479973148356
"+Size, +WordsPerComment, MajorContributor","+WordsPerComment, MajorContributor",+Size,0.024011899702507437,0.3054054054054054,1.465074248560487
"+Size, LowChangeSet, HighHunksCount","LowChangeSet, HighHunksCount",+Size,0.014662133446663833,0.3854748603351955,1.849179095552936
"+Size, LowCodeChurn, HighHunksCount","LowCodeChurn, HighHunksCount",+Size,0.011262218444538886,0.3605442176870748,1.7295831686395249
"+Size, MajorContributor, HighHunksCount","MajorContributor, HighHunksCount",+Size,0.040798980025499365,0.3321799307958478,1.5935155497709068
"+Size, LowCodeChurn, LowChangeSet","LowCodeChurn, LowChangeSet",+Size,0.0393115172120697,0.3027823240589198,1.4524909449758172
"+Size, LowChangeSet, MajorContributor","LowChangeSet, MajorContributor",+Size,0.03633659158521037,0.3931034482758621,1.8857745439207003
"+Size, LowCodeChurn, MajorContributor","LowCodeChurn, MajorContributor",+Size,0.03654908627284318,0.3531827515400411,1.6942691424540606
"HighHunksCount, +WordsInDiscussion, -Complexity","+WordsInDiscussion, HighHunksCount",-Complexity,0.02804929876753081,0.32352941176470584,2.3351678094550703
"-Coupling, +WordsInDiscussion, HighHunksCount","+WordsInDiscussion, HighHunksCount",-Coupling,0.032936676583085425,0.37990196078431376,2.2516607398626958
"-Size, +WordsInDiscussion, HighHunksCount","+WordsInDiscussion, HighHunksCount",-Size,0.039524011899702505,0.45588235294117646,2.2511881982593667
"HighHunksCount, +WordsPerComment, -Complexity","+WordsPerComment, HighHunksCount",-Complexity,0.012537186570335741,0.35975609756097554,2.596644471045937
"-Coupling, +WordsPerComment, HighHunksCount","+WordsPerComment, HighHunksCount",-Coupling,0.011687207819804505,0.33536585365853655,1.987697364379185
"-Size, +WordsPerComment, HighHunksCount","+WordsPerComment, HighHunksCount",-Size,0.01572460688482788,0.4512195121951219,2.2281626698743375
"HighHunksCount, LowChangeSet, -Complexity","LowChangeSet, HighHunksCount",-Complexity,0.01572460688482788,0.4134078212290503,2.9838914213250165
"HighHunksCount, MajorContributor, -Complexity","MajorContributor, HighHunksCount",-Complexity,0.038461538461538464,0.31314878892733566,2.2602426390982235
"-Coupling, HighHunksCount, -WordsPerComment","HighHunksCount, -WordsPerComment",-Coupling,0.016999575010624733,0.404040404040404,2.3947281378011853
"-Coupling, HighCodeChurn, HighHunksCount","HighCodeChurn, HighHunksCount",-Coupling,0.0184870378240544,0.3246268656716418,1.9240478965374639
"-Coupling, LowChangeSet, HighHunksCount","LowChangeSet, HighHunksCount",-Coupling,0.01593710157246069,0.4189944134078212,2.483359835638799
"LowCodeChurn, -Coupling, HighHunksCount","LowCodeChurn, HighHunksCount",-Coupling,0.012112197195070123,0.3877551020408163,2.298205932246954
"-Coupling, MajorContributor, HighHunksCount","MajorContributor, HighHunksCount",-Coupling,0.043136421589460267,0.35121107266435986,2.0816112190912817
"MinorContributor, -Coupling, HighHunksCount","MinorContributor, HighHunksCount",-Coupling,0.019549511262218443,0.3801652892561983,2.2532214751129334
"-Size, HighHunksCount, -WordsPerComment","HighHunksCount, -WordsPerComment",-Size,0.01997450063748406,0.4747474747474747,2.344345872152797
"-Size, HighChangeSet, HighHunksCount","HighChangeSet, HighHunksCount",-Size,0.019337016574585635,0.3460076045627376,1.7086167755217663
"-Size, HighCodeChurn, HighHunksCount","HighCodeChurn, HighHunksCount",-Size,0.02252443688907777,0.39552238805970147,1.953125244710341
"-Size, LowChangeSet, HighHunksCount","LowChangeSet, HighHunksCount",-Size,0.019124521886952826,0.5027932960893854,2.4828386688317394
"LowCodeChurn, -Size, HighHunksCount","LowCodeChurn, HighHunksCount",-Size,0.013812154696132596,0.4421768707482993,2.183509290389818
"-Size, MajorContributor, HighHunksCount","MajorContributor, HighHunksCount",-Size,0.050148746281342964,0.4083044982698962,2.016244458403076
"MinorContributor, -Size, HighHunksCount","MinorContributor, HighHunksCount",-Size,0.02613684657883553,0.5082644628099173,2.5098557838231597
"LowChangeSet, +Cohesion, MajorContributor, HighHunksCount","LowChangeSet, MajorContributor, HighHunksCount",+Cohesion,0.01041223969400765,0.32450331125827814,3.63598233995585
"+Size, +Contributor, +NumPullRequests, HighHunksCount","+Contributor, +NumPullRequests, HighHunksCount",+Size,0.011262218444538886,0.3251533742331288,1.5598081336810439
"+Size, +Contributor, +NumPullRequests, MajorContributor","+Contributor, +NumPullRequests, MajorContributor",+Size,0.022949426264343393,0.4285714285714286,2.0559196155526434
"+Contributor, +NumPullRequests, -Coupling, HighHunksCount","+Contributor, +NumPullRequests, HighHunksCount",-Coupling,0.012112197195070123,0.3496932515337423,2.072615165891425
"-Size, +Contributor, +NumPullRequests, HighHunksCount","+Contributor, +NumPullRequests, HighHunksCount",-Size,0.014024649383765405,0.4049079754601227,1.9994721222616343
"+Size, +Contributor, +WordsInDiscussion, HighHunksCount","+Contributor, +WordsInDiscussion, HighHunksCount",+Size,0.01041223969400765,0.3288590604026846,1.5775848504128784
"+Size, +Contributor, +WordsInDiscussion, MajorContributor","+Contributor, +WordsInDiscussion, MajorContributor",+Size,0.02061198470038249,0.4110169491525424,1.971708218870402
"+Size, +Contributor, +WordsPerComment, MajorContributor","+Contributor, +WordsPerComment, MajorContributor",+Size,0.010837229069273268,0.41129032258064513,1.9730196310545525
"+Size, +Contributor, MajorContributor, HighHunksCount","+Contributor, MajorContributor, HighHunksCount",+Size,0.01827454313642159,0.41747572815533984,2.002691923240601
"+Size, +Contributor, LowChangeSet, MajorContributor","+Contributor, LowChangeSet, MajorContributor",+Size,0.012112197195070123,0.5229357798165137,2.5085991639312066
