Items,Antecedent,Consequent,Support,Confidence,Lift
+Coupling,,+Coupling,0.4217630625397616,0.4217630625397616,1.0
+Size,,+Size,0.468896080546566,0.468896080546566,1.0
"+Contributor, +Complexity",+Contributor,+Complexity,0.10275772411694742,0.320673284419508,1.1240354131877517
"+WordsPerComment, +Complexity",+WordsPerComment,+Complexity,0.05404807346554919,0.3036047234307023,1.0642060855332731
"ExtractionRefactoring, +Complexity",ExtractionRefactoring,+Complexity,0.026221890299560204,0.58159509202454,2.0386278225676935
"+Complexity, HighHunksCount",HighHunksCount,+Complexity,0.1177495643515061,0.39570552147239263,1.3870410818102976
"LowChangeSet, +Complexity",LowChangeSet,+Complexity,0.1105855668962465,0.3816706443914081,1.3378455309950141
"MajorContributor, +Complexity",MajorContributor,+Complexity,0.21007938483666638,0.3591356156610554,1.2588549459951652
"+Contributor, +Coupling",+Contributor,+Coupling,0.15343125051862916,0.4788088044885628,1.1352554242310473
"+Size, +Contributor",+Contributor,+Size,0.16186761817829778,0.5051359516616314,1.077287639241562
"+NumPullRequests, +Coupling",+NumPullRequests,+Coupling,0.1744530191132133,0.4192369050784366,0.9940104819845695
"+Size, +Coupling",,"+Size, +Coupling",0.31001576632644595,0.31001576632644595,1.0
"+WordsInDiscussion, +Coupling",+WordsInDiscussion,+Coupling,0.21497524410145769,0.41318447634237104,0.9796601766268193
"+WordsPerComment, +Coupling",+WordsPerComment,+Coupling,0.08239980084640279,0.46286513362336856,1.0974529889746618
"-WordsPerComment, +Coupling",-WordsPerComment,+Coupling,0.11570270793571764,0.3791696881798404,0.8990111317396229
"ExtractionRefactoring, +Coupling",ExtractionRefactoring,+Coupling,0.02530910297900589,0.5613496932515337,1.3309598281822337
"HighCodeChurn, +Coupling",HighCodeChurn,+Coupling,0.08430835615301635,0.409072607703664,0.9699109382417735
"HighHunksCount, +Coupling",HighHunksCount,+Coupling,0.15514618427239787,0.5213794385573527,1.2361903752730832
"LowChangeSet, +Coupling",LowChangeSet,+Coupling,0.12922855641302244,0.44601431980906925,1.0574997182618888
"LowCodeChurn, +Coupling",LowCodeChurn,+Coupling,0.10723868005421404,0.360684714857196,0.8551832696899401
"MajorContributor, +Coupling",MajorContributor,+Coupling,0.2693829004508616,0.46051636088519005,1.0918840500447453
"MinorContributor, +Coupling",MinorContributor,+Coupling,0.15238016208889996,0.36714428523825393,0.8704989076743569
"RenameRefactoring, +Coupling",RenameRefactoring,+Coupling,0.011423671617846375,0.37855178735105405,0.8975460891987577
"+Size, +NumPullRequests",+NumPullRequests,+Size,0.1884767515835477,0.4529380483913853,0.9659668041230387
"+Size, +WordsInDiscussion",+WordsInDiscussion,+Size,0.2271180814870135,0.43652312599681015,0.9309592127278596
"+Size, +WordsPerComment",+WordsPerComment,+Size,0.08663181478715459,0.48663766314481044,1.0378369181025442
"+Size, -WordsPerComment",-WordsPerComment,+Size,0.12203689873592787,0.39992748368382885,0.8529128313839939
"+Size, ExtractionRefactoring",ExtractionRefactoring,+Size,0.036207230381987664,0.8030674846625767,1.7126768978885167
"+Size, HighCodeChurn",HighCodeChurn,+Size,0.07457195806710369,0.3618306267615085,0.7716648566133092
"+Size, HighHunksCount",HighHunksCount,+Size,0.1733742704616491,0.5826361777282022,1.2425699465200386
"+Size, LowChangeSet",LowChangeSet,+Size,0.17293170691228943,0.5968496420047732,1.272882557066928
"+Size, LowCodeChurn",LowCodeChurn,+Size,0.1472906812712638,0.495394920457717,1.0565132467737046
"+Size, MajorContributor",MajorContributor,+Size,0.31054131054131057,0.5308776243616418,1.132186099194575
"+Size, MinorContributor",MinorContributor,+Size,0.15835477000525544,0.38153948683772076,0.8136973258402618
"+Size, RenameRefactoring",RenameRefactoring,+Size,0.013691809808314663,0.4537121906507791,0.9676177930980189
"ExtractionRefactoring, -Cohesion",ExtractionRefactoring,-Cohesion,0.02254308079550798,0.5,2.5838336192109774
"-Cohesion, HighHunksCount",HighHunksCount,-Cohesion,0.09728100019362156,0.32691950176612755,1.6894111988780458
"+Contributor, +NumPullRequests, +Complexity","+Contributor, +NumPullRequests",+Complexity,0.038475368572455954,0.3103525211958947,1.0878587064955574
"+Size, +Contributor, +Complexity",+Contributor,"+Size, +Complexity",0.09830442840151578,0.3067760034527406,1.1403323928466924
"+Contributor, +WordsPerComment, +Complexity","+Contributor, +WordsPerComment",+Complexity,0.019002572400630652,0.31100045269352644,1.0901298590487745
"+Contributor, +Complexity, HighHunksCount","+Contributor, HighHunksCount",+Complexity,0.037617901695571596,0.4527296937416777,1.5869242406285509
"+Contributor, LowChangeSet, +Complexity","+Contributor, LowChangeSet",+Complexity,0.03537742372693829,0.4431739431739432,1.5534290835337956
"+Contributor, LowCodeChurn, +Complexity","+Contributor, LowCodeChurn",+Complexity,0.029209194257737946,0.33460076045627374,1.1728544980391375
"+Contributor, MajorContributor, +Complexity","+Contributor, MajorContributor",+Complexity,0.05778220341327137,0.6654985664224274,2.3327292681665717
"ExtractionRefactoring, +Complexity, +Coupling",ExtractionRefactoring,"+Complexity, +Coupling",0.020247282383204713,0.449079754601227,2.0943731124997624
"HighHunksCount, +Complexity, +Coupling",HighHunksCount,"+Complexity, +Coupling",0.09387879290791912,0.31548614984197804,1.4713326593443024
"ExtractionRefactoring, +NumPullRequests, +Complexity","ExtractionRefactoring, +NumPullRequests",+Complexity,0.01194921583271098,0.5714285714285714,2.0029917726252804
"+NumPullRequests, +Complexity, HighHunksCount","+NumPullRequests, HighHunksCount",+Complexity,0.0507288468453517,0.391964094892071,1.3739265001583325
"+NumPullRequests, LowChangeSet, +Complexity","+NumPullRequests, LowChangeSet",+Complexity,0.038641329903465825,0.36685924369747897,1.2859280819657704
"MajorContributor, +NumPullRequests, +Complexity","+NumPullRequests, MajorContributor",+Complexity,0.0890105938649628,0.34248616432524476,1.2004946964175462
"+Size, ExtractionRefactoring, +Complexity",ExtractionRefactoring,"+Size, +Complexity",0.02544740408818079,0.5644171779141105,2.098023260654826
"+Size, +Complexity, HighHunksCount",HighHunksCount,"+Size, +Complexity",0.11083450889276132,0.3724670013013571,1.38451567942093
"+Size, LowChangeSet, +Complexity",LowChangeSet,"+Size, +Complexity",0.10306198655713218,0.35570405727923626,1.3222053036002703
"+Size, MajorContributor, +Complexity",MajorContributor,"+Size, +Complexity",0.199983403866899,0.341876300359372,1.270805458245155
"+WordsPerComment, +WordsInDiscussion, +Complexity","+WordsPerComment, +WordsInDiscussion",+Complexity,0.05404807346554919,0.3036047234307023,1.0642060855332731
"ExtractionRefactoring, +WordsInDiscussion, +Complexity","ExtractionRefactoring, +WordsInDiscussion",+Complexity,0.013968412026664453,0.5629877369007803,1.9734046589270806
"+WordsInDiscussion, +Complexity, HighHunksCount","+WordsInDiscussion, HighHunksCount",+Complexity,0.059275855392360244,0.3741924218613585,1.311632599142301
"+WordsInDiscussion, +Complexity, LowChangeSet","+WordsInDiscussion, LowChangeSet",+Complexity,0.04547340469670567,0.36195508586525765,1.268737853333979
"MajorContributor, +WordsInDiscussion, +Complexity","+WordsInDiscussion, MajorContributor",+Complexity,0.10956213868835228,0.31354389297870655,1.0990452164881885
"+WordsPerComment, +Complexity, HighHunksCount","+WordsPerComment, HighHunksCount",+Complexity,0.023123945454042543,0.419889502762431,1.471811634028521
"+WordsPerComment, +Complexity, LowChangeSet","+WordsPerComment, LowChangeSet",+Complexity,0.014853539125383786,0.4016454749439043,1.4078620181934236
"LowCodeChurn, +WordsPerComment, +Complexity","LowCodeChurn, +WordsPerComment",+Complexity,0.011506652283351312,0.30057803468208094,1.0535968283751476
"MajorContributor, +WordsPerComment, +Complexity","+WordsPerComment, MajorContributor",+Complexity,0.042098857632838216,0.3794564946397407,1.3300844144571013
"ExtractionRefactoring, -Cohesion, +Complexity",ExtractionRefactoring,"-Cohesion, +Complexity",0.017094017094017096,0.37914110429447856,2.573134661828099
"HighHunksCount, +Complexity, -WordsPerComment","HighHunksCount, -WordsPerComment",+Complexity,0.03153265289187619,0.3442028985507246,1.206512254344032
"LowChangeSet, +Complexity, -WordsPerComment","LowChangeSet, -WordsPerComment",+Complexity,0.02718999806378447,0.3343537414965986,1.1719886383872917
"ExtractionRefactoring, +Complexity, HighHunksCount","ExtractionRefactoring, HighHunksCount",+Complexity,0.01847702818576605,0.6128440366972477,2.1481627359623423
"ExtractionRefactoring, LowChangeSet, +Complexity","ExtractionRefactoring, LowChangeSet",+Complexity,0.011368351174176417,0.6362229102167183,2.2301111957596484
"ExtractionRefactoring, MajorContributor, +Complexity","ExtractionRefactoring, MajorContributor",+Complexity,0.021409011700273838,0.6182108626198084,2.166974725256344
"HighCodeChurn, +Complexity, HighHunksCount","HighCodeChurn, HighHunksCount",+Complexity,0.021574973031283712,0.30672434132913884,1.0751410812558033
"HighCodeChurn, MajorContributor, +Complexity","MajorContributor, HighCodeChurn",+Complexity,0.037341299477221805,0.30772737633918396,1.0786569552831604
