file_id,decay_score
1,0.32
2,0.49
3,0.08
4,0.08
5,0.08
6,0.08
7,0.08
8,0.18
9,0.31
10,0.25
11,0.35
12,0.66
13,0.1
14,0.08
15,0.25
16,0.25
17,0.56
18,0.24
19,0.73
20,0.18
21,0.08
22,0.1
23,0.08
24,0.32
25,0.18
26,0.43
27,0.25
28,0.25
29,0.17
30,0.17
31,0.54
32,0
33,0.1
34,0.39
36,0.39
37,0.08
38,0.33
39,0.35
40,0.08
41,0.67
42,0.12
43,0.08
44,0.08
45,0.1
46,0.08
47,0.17
48,0.35
49,0.25
50,0.08
51,0.08
52,0.25
53,0.15
54,0.33
55,0.08
56,0.17
57,0.08
58,0.64
59,0.64
60,0.58
62,0.58
63,0.7
64,0.41
65,0.55
67,0.08
68,0.38
69,0.61
70,0.52
71,0.35
72,0.42
73,0.46
75,0.25
77,0.08
78,0.19
80,0.34
81,0.08
82,0.74
83,0.17
84,0.34
86,0.17
87,0.08
88,0.18
89,0.08
90,0.51
91,0.24
92,0.34
93,0.08
94,0.08
95,0.08
96,0.08
97,0.19
98,0.08
99,0.08
100,0.17
101,0.35
102,0.08
103,0.51
104,0.49
105,0.08
106,0.08
107,0.4
108,0.25
109,0.08
110,0.33
111,0.08
112,0.24
113,0.1
114,0.08
115,0.08
116,0.08
117,0.08
118,0.42
119,0.4
120,0.17
121,0.33
122,0.33
123,0.08
124,0.17
125,0.08
126,0.08
127,0.33
128,0.08
129,0.4
130,0.4
131,0.25
132,0.17
133,0.4
134,0.24
135,0.08
136,0.33
137,0.25
138,0
139,0.33
140,0.33
141,0.08
142,0.4
143,0.08
144,0.42
145,0.4
146,0.49
147,0.17
148,0.49
149,0.25
150,0.33
151,0.33
152,0.14
153,0.49
155,0.35
156,0.32
157,0.33
158,0.1
159,0.08
160,0.4
161,0.08
162,0.24
163,0.2
164,0.17
165,0.19
166,0.35
167,0.41
168,0.25
169,0.25
170,0.32
171,0.08
172,0.25
173,0.4
174,0.57
175,0.56
176,0.08
177,0.27
178,0.27
180,0.1
181,0.1
183,0.08
184,0.1
185,0.08
186,0.08
187,0.08
188,0.08
189,0.45
190,0.61
191,0.52
192,0.17
193,0.17
194,0.17
195,0.17
196,0.33
197,0.29
198,0.08
199,0.4
200,0.66
201,0.71
203,0.08
204,0.54
205,0.49
206,0.08
207,0.4
208,0.61
211,0.08
213,0.68
214,0.32
215,0.08
216,0.08
217,0.46
218,0.17
219,0.61
221,0.41
222,0
223,0.24
224,0.18
225,0.55
226,0.27
227,0.18
228,0.17
229,0.17
230,0.25
231,0.08
232,0.39
233,0.3
234,0.56
235,0.18
236,0.33
237,0.08
238,0.08
239,0.1
240,0.08
241,0.38
242,0.17
244,0.34
245,0.18
246,0.08
247,0.51
248,0.33
249,0.17
250,0.43
252,0.71
253,0.35
254,0.08
255,0.08
256,0.59
257,0.17
258,0.08
259,0.24
261,0.15
262,0.25
263,0.24
264,0.17
265,0.17
266,0.17
267,0.17
268,0.49
269,0.08
270,0.25
271,0.08
272,0.1
273,0.08
274,0.31
275,0.08
276,0.08
277,0.59
279,0.1
280,0.32
281,0.64
282,0.15
283,0.32
284,0.08
285,0.18
286,0.27
287,0.51
288,0.32
289,0.29
290,0.08
291,0.5
292,0.63
293,0.18
294,0.43
295,0.12
296,0.08
297,0.17
298,0.27
299,0.45
300,0.02
301,0.7
302,0.08
303,0.46
304,0.08
305,0.17
306,0.24
308,0.18
309,0.18
310,0.33
311,0.27
313,0.65
314,0.25
315,0.17
316,0.17
317,0.08
318,0.27
319,0.59
320,0.35
323,0.73
324,0.27
325,0.08
326,0.02
327,0.3
328,0.1
329,0.24
330,0.24
331,0.82
332,0.17
333,0.2
334,0.1
335,0.1
336,0.41
337,0.17
338,0.27
339,0.18
340,0.43
341,0.61
342,0.49
343,0.68
344,0.45
345,0.49
346,0.25
347,0.08
348,0.4
349,0.08
350,0.33
351,0.49
352,0.08
353,0.25
354,0.08
355,0.4
357,0.64
359,0.4
360,0.51
361,0.08
362,0.32
363,0.18
364,0.34
366,0.18
367,0.1
368,0.08
369,0.17
370,0.33
371,0.42
372,0.7
373,0.12
374,0.02
376,0.12
377,0.08
378,0.48
379,0.62
380,0.08
381,0.68
382,0.08
383,0.1
384,0.08
385,0.17
386,0.08
387,0.32
388,0.24
389,0.08
390,0.43
391,0.43
392,0.18
393,0.08
395,0.08
396,0.17
397,0.25
398,0.25
399,0.08
400,0.53
401,0.58
402,0.17
403,0.2
404,0.25
