file_id,decay_score
1,0.17
2,0.41
4,0.36
5,0.17
6,0.29
9,0.08
10,0.17
11,0.37
12,0.42
14,0.51
17,0.42
23,0.42
25,0.34
28,0.17
29,0.59
32,0.42
33,0.42
34,0.08
36,0.34
41,0.33
42,0.08
43,0.22
44,0.08
45,0.38
48,0.08
51,0.25
52,0.42
53,0.26
55,0.17
56,0.08
58,0.08
60,0.48
61,0.59
63,0.08
67,0.25
73,0.5
80,0.08
86,0.08
89,0.25
91,0.42
92,0.08
95,0.49
96,0.51
97,0.17
98,0.49
99,0.08
103,0.42
108,0.08
109,0.08
111,0.41
112,0.34
114,0.33
115,0.39
116,0.08
118,0.25
119,0.34
120,0.34
121,0.08
122,0.7
125,0.17
126,0.33
127,0.17
128,0.17
129,0.08
130,0.39
131,0.49
132,0.17
137,0.08
138,0.08
140,0.08
141,0.17
142,0.08
143,0.17
145,0.17
146,0.08
147,0.17
148,0.08
149,0.08
150,0.08
151,0.08
152,0.08
153,0.4
154,0.35
156,0.59
157,0.4
158,0.92
159,0.61
160,0.21
161,0.17
162,0.18
163,0.48
165,0.51
166,0.42
168,0.42
169,0.29
171,0.34
172,0.48
173,0.3
175,0.34
176,0.51
177,0.34
178,0.08
179,0.08
180,0.42
181,0
182,0.17
183,0.17
184,0.08
185,0.17
188,0.42
189,0.29
191,0.08
192,0.26
194,0.35
195,0.18
196,0.39
197,0
198,0.08
199,0.08
200,0.08
201,0.08
202,0.25
203,0.27
204,0.39
205,0.51
206,0.39
207,0.17
208,0.17
210,0.18
211,0.17
212,0.17
213,0.62
214,0.17
215,0.08
217,0.26
218,0.3
220,0.08
221,0.08
223,0.59
225,0.08
228,0.17
229,0.08
230,0.71
231,0.08
232,0.17
233,0.08
234,0.08
236,0.18
237,0.25
238,0.08
240,0.17
241,0.17
242,0.08
243,0.17
244,0.27
245,0.65
246,0.33
247,0.46
249,0.58
250,0.34
251,0.26
252,0.08
253,0.08
254,0.08
255,0.08
256,0.08
258,0.08
259,0.42
260,0.34
262,0.25
263,0.08
267,0.36
268,0.42
269,0.44
270,0.56
271,0.08
272,0.42
273,0.08
274,0.08
275,0.4
276,0.08
278,0.26
279,0.08
280,0.08
281,0.59
282,0.42
292,0.08
295,0.2
296,0.51
301,0.17
302,0.34
303,0.26
317,0.17
319,0.08
324,0.49
326,0.08
334,0.08
335,0.08
336,0.41
337,0.35
338,0.17
339,0.42
340,0.33
341,0.25
342,0.27
343,0.27
344,0.51
345,0.34
346,0.26
347,0.42
349,0.26
