file_id,decay_score
2,0.4
3,0.64
4,0.74
5,0.17
6,0.55
7,0.56
9,0.17
10,0.07
11,0.34
12,0.58
13,0.15
14,0.73
15,0.58
16,0.32
17,0.62
18,0.42
19,0.42
20,0.53
21,0.37
22,0.18
23,0.36
24,0.53
25,0.29
26,0.18
27,0.2
28,0.38
29,0.39
30,0.18
31,0.2
32,0.6
33,0.18
34,0.42
35,0.08
36,0.6
37,0.35
38,0.65
39,0.27
40,0.49
41,0.15
42,0.73
45,0.04
46,0.51
47,0.44
48,0.76
49,0.59
50,0.18
52,0.18
53,0.1
54,0.57
55,0.33
56,0.75
58,0.27
59,0.08
60,0.17
61,0.64
62,0
63,0.37
64,0.18
65,0.08
66,0.27
67,0.09
68,0.56
69,0
70,0.76
71,0.27
72,0.18
73,0.49
74,0.27
75,0.55
76,0.2
77,0.36
78,0.37
79,0.56
80,0.58
81,0.27
82,0.29
83,0.27
84,0.27
85,0.61
86,0.68
87,0.78
90,0.25
91,0.55
92,0.49
93,0.55
94,0.66
95,0.61
96,0.57
97,0.73
98,0.5
99,0.08
100,0.17
101,0.08
102,0.17
103,0.54
104,0.17
105,0.33
106,0.34
107,0.54
109,0.42
110,0.15
112,0.42
113,0.08
114,0.31
116,0.34
117,0.4
118,0.35
119,0.35
120,0.17
121,0.08
122,0.08
123,0.23
124,0.27
126,0.17
127,0.08
128,0.18
129,0.08
130,0.42
131,0.08
132,0.08
133,0.08
134,0.53
135,0.24
136,0.57
137,0.32
139,0.56
140,0.3
142,0.6
143,0.44
144,0.08
145,0.08
146,0.4
148,0.08
149,0.4
150,0.32
151,0.08
152,0.48
154,0.08
157,0.08
158,0.08
159,0.08
160,0.59
163,0.32
164,0.51
165,0.38
166,0.15
167,0.25
168,0.26
169,0.46
170,0.58
171,0.38
172,0.24
173,0.24
174,0.4
175,0.51
176,0.24
177,0.24
178,0.18
179,0.58
180,0.18
181,0.18
182,0.33
183,0.1
184,0.4
185,0.56
186,0.54
187,0.1
188,0.26
189,0.41
190,0.56
191,0.56
192,0.39
193,0.32
194,0.61
195,0.08
196,0.54
197,0.33
198,0.51
200,0.39
201,0.08
202,0.17
203,0.29
204,0.51
205,0.15
206,0.35
207,0.54
208,0.49
209,0.26
210,0.27
211,0.49
212,0.08
213,0.08
214,0.71
216,0.26
217,0.42
218,0.08
219,0.14
220,0.51
221,0.08
222,0.08
223,0.51
224,0.49
225,0.27
226,0.08
227,0.4
228,0.39
229,0.49
230,0.24
231,0.15
232,0.17
233,0.42
234,0.27
235,0.51
236,0.17
237,0.56
238,0.08
239,0.34
240,0.08
241,0.24
242,0.17
243,0.31
244,0.51
245,0.31
246,0.08
247,0.08
248,0.37
249,0.35
250,0.42
251,0.4
252,0.34
253,0.56
254,0.21
256,0.08
257,0.49
258,0.24
259,0.21
260,0.36
261,0.41
262,0.25
263,0.25
264,0.1
265,0.17
266,0.26
267,0.18
268,0.14
269,0.18
270,0.35
271,0.18
273,0.08
274,0.15
276,0.33
277,0.27
278,0.27
279,0.1
280,0.18
281,0.1
282,0.1
283,0.08
284,0.1
285,0.08
286,0.08
287,0.08
288,0.32
289,0.37
290,0.27
291,0.1
292,0.2
293,0.42
295,0.08
296,0.17
298,0.17
299,0.14
300,0.08
301,0.25
303,0.08
304,0.08
