file_id,decay_score
5,0.32
8,0.42
9,0.08
12,0.17
13,0.08
14,0.08
15,0.32
17,0.08
26,0.34
28,0.25
29,0.17
30,0.25
31,0.25
32,0.08
33,0.08
34,0.08
35,0.32
36,0.42
37,0.08
38,0.26
39,0.25
40,0.08
41,0.33
42,0.08
43,0.17
44,0.08
45,0.4
46,0.29
47,0.32
48,0.32
49,0.17
50,0.25
51,0.08
52,0.08
53,0.08
54,0.32
56,0.33
57,0.08
58,0.08
59,0.22
60,0.17
61,0.08
62,0.4
63,0.08
64,0.08
65,0.17
66,0.08
68,0.08
69,0.4
71,0.08
72,0.4
73,0.08
74,0.57
75,0.08
78,0.54
81,0.08
82,0.17
83,0.17
84,0.08
85,0.39
86,0.59
87,0.08
88,0.08
90,0.17
91,0.29
92,0.25
94,0.25
95,0.55
96,0.08
97,0.17
98,0.4
99,0.32
100,0.08
101,0.26
102,0.25
103,0.08
104,0.08
105,0.08
106,0.49
107,0.44
109,0.64
110,0.59
113,0.46
114,0.25
115,0
117,0.6
118,0.32
120,0.62
123,0.49
124,0.36
125,0.27
127,0.1
128,0.3
130,0.51
132,0.25
133,0.43
134,0.56
135,0.18
136,0.08
137,0.08
140,0.08
142,0.1
143,0.08
144,0.08
145,0.08
147,0.32
148,0.08
150,0.22
151,0.1
152,0.18
153,0.35
154,0.08
155,0.52
156,0.57
157,0.27
159,0.17
160,0.08
161,0.08
162,0.08
163,0.08
164,0.08
165,0.08
170,0.17
171,0.12
172,0.08
173,0.24
174,0.25
175,0.08
177,0.08
179,0.24
181,0.1
182,0.08
183,0.08
184,0.08
185,0.08
186,0.08
187,0.17
188,0.32
189,0.22
190,0.08
192,0.08
193,0.08
194,0.08
195,0.08
196,0.08
197,0.08
198,0.08
199,0.08
200,0.08
201,0.08
202,0.08
203,0.08
204,0.08
205,0.08
206,0.08
207,0.08
208,0.08
209,0.08
210,0.14
213,0.08
214,0.15
223,0.08
224,0.4
225,0.08
226,0.17
230,0.08
231,0.08
236,0.08
239,0.17
242,0.08
243,0.17
244,0.24
247,0.25
255,0.08
266,0.08
267,0.49
268,0.29
269,0.08
270,0.08
271,0.66
272,0.08
273,0.42
274,0.18
275,0.32
276,0.17
277,0.08
278,0.41
279,0.08
280,0.08
281,0.17
282,0.08
283,0.08
284,0.08
285,0.17
286,0.56
288,0.56
290,0.17
291,0.22
292,0.1
293,0.08
294,0.49
295,0.08
296,0.27
297,0.15
298,0.57
299,0.56
300,0.29
301,0.4
302,0.34
303,0.17
304,0.4
305,0.35
306,0
307,0.08
308,0.17
309,0.49
311,0.25
313,0.27
316,0.17
318,0.08
320,0.4
323,0.11
325,0.32
326,0.25
327,0.51
328,0.35
329,0.34
330,0.64
332,0.17
340,0.08
341,0.08
342,0.34
343,0.08
345,0.34
347,0.49
348,0.17
353,0.64
354,0.46
355,0.17
356,0.17
357,0.49
358,0.24
359,0.4
360,0.17
361,0.1
362,0.58
363,0.18
364,0.08
365,0.25
367,0.68
368,0.56
370,0.49
371,0.08
372,0.45
373,0.55
374,0.22
375,0.17
376,0.17
377,0.08
378,0.32
379,0.08
380,0.08
381,0.1
382,0.08
383,0.08
384,0.08
386,0.08
387,0.4
388,0
389,0.08
390,0.08
391,0.17
393,0.08
394,0.49
395,0.32
396,0.17
397,0.34
398,0.32
399,0.24
400,0.32
401,0.78
403,0.56
404,0.17
405,0.34
406,0.71
408,0.08
409,0.1
410,0.08
411,0.29
412,0.48
413,0.45
414,0.58
415,0.25
417,0.18
419,0.14
421,0.31
422,0.17
423,0.32
424,0.44
425,0.71
426,0.08
428,0.08
429,0
430,0.49
431,0.49
432,0.25
433,0.33
434,0.08
435,0.02
