change_id,commit_hash,old_path,current_path,PercentLackOfCohesion,CountClassCoupled,MaxNesting,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountDeclMethod,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,RatioCommentToCode,CountDeclInstanceVariable,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodDefault,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountClassBase,CountClassDerived,MaxInheritanceTree,TightClassCohesion,FANOUT,FANIN,LCOM2,LCOM3,ChangeSet,HunksCount,CodeChurn,ContributorCount,FileContributionPercentage,RefactoringCount,MoveRefactoringCount,ExtractionRefactoringCount,HierarchicalRefactoringCount,RenameRefactoringCount,num_pulls_classes,words_in_discussion_by_class,words_per_comment_by_class
1_change1,0bd2a0152b64723ac3daf3e2fbad3d59c7f3bbb8,src/test/java/io/reactivex/rxjava3/observable/ObservableDoOnTest.java,src/test/java/io/reactivex/rxjava3/observable/ObservableDoOnTest.java,0.0,2.0,1.0,6.0,6.0,6.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,92.0,10.0,70.0,23.0,47.0,12.0,27.0,39.0,20.0,19.0,0.17,0.0,5.0,6.0,0.0,13.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.25,106,2,1808,2,0.02,0,0,0,0,0,0,0,0
1_change2,a1693ecc9215027a7a3eae75272979ebb4d79a27,None,src/test/java/io/reactivex/rxjava3/observable/ObservableDoOnTest.java,0.0,2.0,1.0,6.0,6.0,6.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,92.0,10.0,70.0,23.0,47.0,12.0,27.0,39.0,20.0,19.0,0.17,0.0,5.0,6.0,0.0,13.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.25,1647,1,845705,1,0.9,0,0,0,0,0,0,0,0
2_change1,a1693ecc9215027a7a3eae75272979ebb4d79a27,None,src/test/java/io/reactivex/rxjava3/observable/ObservableThrottleWithTimeoutTests.java,0.0,6.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,56.0,6.0,37.0,9.0,29.0,20.0,25.0,28.0,7.0,21.0,0.54,0.0,2.0,3.0,0.0,18.0,1.0,16.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,8.0,0.0,1.0,2.0,1647,1,845705,1,0.23,0,0,0,0,0,0,0,0
3_change1,0bd2a0152b64723ac3daf3e2fbad3d59c7f3bbb8,src/test/java/io/reactivex/rxjava3/observable/ObservableZipTests.java,src/test/java/io/reactivex/rxjava3/observable/ObservableZipTests.java,80.0,12.0,0.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,144.0,17.0,105.0,23.0,73.0,23.0,33.0,51.0,24.0,27.0,0.22,3.0,5.0,6.0,0.0,19.0,1.0,16.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,14.0,0.0,0.85,1.0625,106,1,1808,2,0.01,0,0,0,0,0,0,0,0
3_change2,a1693ecc9215027a7a3eae75272979ebb4d79a27,None,src/test/java/io/reactivex/rxjava3/observable/ObservableZipTests.java,80.0,12.0,0.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,144.0,17.0,105.0,23.0,73.0,23.0,33.0,51.0,24.0,27.0,0.22,3.0,5.0,6.0,0.0,19.0,1.0,16.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,14.0,0.0,0.85,1.0625,1647,1,845705,1,0.62,0,0,0,0,0,0,0,0
4_change1,0bd2a0152b64723ac3daf3e2fbad3d59c7f3bbb8,src/test/java/io/reactivex/rxjava3/observable/ObservableWindowTests.java,src/test/java/io/reactivex/rxjava3/observable/ObservableWindowTests.java,0.0,5.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,80.0,14.0,54.0,10.0,43.0,15.0,25.0,31.0,10.0,21.0,0.28,0.0,2.0,3.0,0.0,31.0,6.0,25.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0,106,1,1808,2,0.01,0,0,0,0,0,0,0,0
4_change2,6518eb93be37d72044bfa66b9d00743e6356213b,src/test/java/io/reactivex/rxjava3/observable/ObservableWindowTests.java,src/test/java/io/reactivex/rxjava3/observable/ObservableWindowTests.java,0.0,5.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,80.0,14.0,54.0,10.0,43.0,15.0,25.0,31.0,10.0,21.0,0.28,0.0,2.0,3.0,0.0,31.0,6.0,25.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0,6,5,120,1,0.63,0,0,0,0,0,0,0,0
4_change3,a1693ecc9215027a7a3eae75272979ebb4d79a27,None,src/test/java/io/reactivex/rxjava3/observable/ObservableWindowTests.java,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.0,4.0,25.0,4.0,18.0,12.0,7.0,11.0,5.0,6.0,0.48,0.0,1.0,2.0,0.0,25.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1647,1,845705,1,0.33,0,0,0,0,0,0,0,0
5_change1,0bd2a0152b64723ac3daf3e2fbad3d59c7f3bbb8,src/test/java/io/reactivex/rxjava3/observable/ObservableEventStream.java,src/test/java/io/reactivex/rxjava3/observable/ObservableEventStream.java,0.0,4.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,82.0,8.0,50.0,18.0,23.0,24.0,26.0,37.0,17.0,20.0,0.48,0.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,106,1,1808,2,0.01,0,0,0,0,0,0,0,0
5_change2,a1693ecc9215027a7a3eae75272979ebb4d79a27,None,src/test/java/io/reactivex/rxjava3/observable/ObservableEventStream.java,0.0,4.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,82.0,8.0,50.0,18.0,23.0,24.0,26.0,37.0,17.0,20.0,0.48,0.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1647,1,845705,1,0.93,0,0,0,0,0,0,0,0
