change_id,commit_hash,old_path,current_path,PercentLackOfCohesion,CountClassCoupled,MaxNesting,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountDeclMethod,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,RatioCommentToCode,CountDeclInstanceVariable,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodDefault,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountClassBase,CountClassDerived,MaxInheritanceTree,TightClassCohesion,FANOUT,FANIN,LCOM2,LCOM3,ChangeSet,HunksCount,CodeChurn,ContributorCount,FileContributionPercentage,RefactoringCount,MoveRefactoringCount,ExtractionRefactoringCount,HierarchicalRefactoringCount,RenameRefactoringCount,num_pulls_classes,words_in_discussion_by_class,words_per_comment_by_class
1_change1,edc5796bd2cdc2196d78b9edf253d9e0b0701da5,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,40.0,4.0,0.0,1.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,188.0,35.0,152.0,56.0,79.0,1.0,66.0,93.0,36.0,57.0,0.0,2.0,10.0,10.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.8,3.0,0.0,0.4,0.4444444444444444,407,1,733,6,0.0,2,0,0,0,1,0,0,0
1_change2,cc75c37eb777b000426a2373312e3b143c8ed9f7,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,40.0,4.0,0.0,1.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,188.0,35.0,152.0,56.0,79.0,1.0,66.0,93.0,36.0,57.0,0.0,2.0,10.0,10.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.8,3.0,0.0,0.4,0.4444444444444444,693,8,21124,5,0.08,2,0,0,0,1,0,0,0
1_change3,67c6dd2ae04d9019d4444de1d659136eadf5a7e3,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,40.0,4.0,0.0,2.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,192.0,38.0,151.0,57.0,73.0,3.0,66.0,93.0,36.0,57.0,0.0,2.0,10.0,10.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.8,3.0,0.0,0.4,0.4444444444444444,2,4,29,4,0.98,2,0,0,0,1,0,0,0
1_change4,67fd55d341c4285c8b7fe2be8ef05c61c2356c48,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,33.0,3.0,0.0,2.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,176.0,33.0,140.0,51.0,68.0,3.0,60.0,85.0,31.0,54.0,0.0,2.0,9.0,9.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,1.0,3.0,0.0,0.33333333333333337,0.375,108,1,576,4,0.97,2,0,0,0,1,0,0,0
1_change5,5d419bcc450bd0e4fbc27546e94ac55ad20a3e60,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,33.0,3.0,0.0,2.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,176.0,33.0,140.0,51.0,68.0,3.0,60.0,85.0,31.0,54.0,0.0,2.0,9.0,9.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,1.0,3.0,0.0,0.33333333333333337,0.375,611,1,1328,4,0.01,2,0,0,0,1,0,0,0
1_change6,61e4b986d455f328a261e259689a11088b9f4a86,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,33.0,3.0,0.0,2.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,176.0,33.0,140.0,51.0,68.0,3.0,60.0,85.0,31.0,54.0,0.0,2.0,9.0,9.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,1.0,3.0,0.0,0.33333333333333337,0.375,643,2,4211,3,0.01,2,0,0,0,1,0,0,0
1_change7,f2268961dfd7d8be9ea3b3cf1a978c4d7d0aac9a,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,33.0,3.0,0.0,2.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,176.0,33.0,140.0,51.0,68.0,3.0,60.0,85.0,31.0,54.0,0.0,2.0,9.0,9.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,1.0,3.0,0.0,0.33333333333333337,0.375,551,4,4029,2,0.01,2,0,0,0,1,0,0,0
1_change8,61384b29e170ab15e19efe302cbf4e5289e776a8,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,33.0,3.0,0.0,2.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,176.0,33.0,140.0,51.0,68.0,3.0,60.0,85.0,31.0,54.0,0.0,2.0,9.0,9.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,1.0,3.0,0.0,0.33333333333333337,0.375,4,1,111,1,1.0,2,0,0,0,1,0,0,0
1_change9,2d82c6c185e84a98e29f498c5dfb27b3f3f10eba,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,37.0,3.0,0.0,2.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,157.0,31.0,123.0,48.0,54.0,3.0,51.0,75.0,29.0,46.0,0.0,2.0,8.0,8.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,2.0,0.0,0.375,0.42857142857142855,5,1,36,1,1.0,1,0,0,0,0,0,0,0
1_change10,8f68fd9422b2d9e80e4ae559100c9c59b2e9e21a,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,animated-drawable/src/test/java/com/facebook/fresco/animation/frame/DropFramesFrameSchedulerTest.java,37.0,3.0,0.0,3.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,153.0,30.0,120.0,46.0,54.0,3.0,51.0,74.0,28.0,46.0,0.0,2.0,8.0,8.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,2.0,0.0,0.375,0.42857142857142855,1,1,10,1,1.0,1,0,0,0,0,0,0,0
