change_id,commit_hash,old_path,current_path,PercentLackOfCohesion,CountClassCoupled,MaxNesting,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountDeclMethod,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,RatioCommentToCode,CountDeclInstanceVariable,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodDefault,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountClassBase,CountClassDerived,MaxInheritanceTree,TightClassCohesion,FANOUT,FANIN,LCOM2,LCOM3,ChangeSet,HunksCount,CodeChurn,ContributorCount,FileContributionPercentage,RefactoringCount,MoveRefactoringCount,ExtractionRefactoringCount,HierarchicalRefactoringCount,RenameRefactoringCount,num_pulls_classes,words_in_discussion_by_class,words_per_comment_by_class
1_change1,7e9e57603e97b8d780646665425ec9d12cd4d572,None,mockwebserver/src/main/java/okhttp3/internal/duplex/MwsDuplexAccess.java,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,4.0,3.0,0.0,4.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,18,1,646,1,1.0,0,0,0,0,0,1,0,0
2_change1,ae5c364051f9c55b6a85c2cc14eea0a53ef5fa94,mockwebserver/src/main/java/okhttp3/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/okhttp3/mockwebserver/Dispatcher.java,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,26.0,2.0,8.0,4.0,1.0,16.0,2.0,5.0,4.0,1.0,2.0,0.0,3.0,3.0,0.0,8.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,4,1,42,4,0.56,0,0,0,0,0,0,179,9.421052631578947
2_change2,e7023e034482da35fe78fe05c7cf690117b2b738,mockwebserver/src/main/java/okhttp3/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/okhttp3/mockwebserver/Dispatcher.java,0.0,3.0,0.0,83.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,18.0,1.0,6.0,3.0,1.0,11.0,2.0,4.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,9.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,36,2,441,4,0.46,0,0,0,0,0,0,177,9.833333333333334
2_change3,c9a89876de476983f273edbf108c365127c18c5e,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/okhttp3/mockwebserver/Dispatcher.java,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,19.0,1.0,6.0,3.0,1.0,12.0,2.0,4.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,10.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,242,1,2506,4,0.47,0,0,0,0,0,0,177,9.833333333333334
2_change4,6f232fdb6d11e8d030a6c986faf95636cd71f569,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,19.0,1.0,6.0,3.0,1.0,12.0,2.0,4.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,10.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,1,1,5,4,0.0,0,0,0,0,0,0,162,10.125
2_change5,bcf069cd2b2e5ee6cc324921e68ac6a8ef4f94f0,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java,0.0,3.0,0.0,44.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,24.0,2.0,9.0,4.0,2.0,13.0,3.0,6.0,4.0,2.0,1.0,0.0,3.0,3.0,0.0,7.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,4,2,133,3,0.54,0,0,0,0,0,0,107,7.133333333333334
2_change6,d5ab35a272dfd9a7eca1072a72d3d57f29c438b4,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java,0.0,3.0,0.0,67.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,17.0,1.0,6.0,3.0,1.0,10.0,2.0,4.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,8.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,6,3,2060,3,0.44,0,0,0,0,0,0,62,4.769230769230769
2_change7,8535f2447c4269531de53e9e37aa37f2d4d1da51,mockwebserver/src/main/java/com/google/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/com/squareup/okhttp/mockwebserver/Dispatcher.java,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,19.0,1.0,6.0,3.0,1.0,12.0,2.0,4.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,8.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,17,1,345,3,0.03,0,0,0,0,0,0,56,4.666666666666667
2_change8,60102293782e942ec86d7e2c26836ed6fa992cf5,src/main/java/com/google/mockwebserver/Dispatcher.java,mockwebserver/src/main/java/com/google/mockwebserver/Dispatcher.java,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,19.0,1.0,6.0,3.0,1.0,12.0,2.0,4.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,8.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,31,0,5322,3,0.0,0,0,0,0,0,0,42,4.666666666666667
2_change9,889463746b9d426c6f0703c743b07a41fa5367cc,src/main/java/com/google/mockwebserver/Dispatcher.java,src/main/java/com/google/mockwebserver/Dispatcher.java,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,19.0,1.0,6.0,3.0,1.0,12.0,2.0,4.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,8.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,4,2,62,2,0.14,0,0,0,0,0,2,28,4.666666666666667
