items,antecedent,consequent,support_low,support_high,confidence_low,confidence_high,lift_low,lift_high
+Coupling,,+Coupling,0.32763466042154565,,0.32763466042154565,,1.0,
+Size,,+Size,0.3704918032786885,,0.3704918032786885,,1.0,
"+WordsPerComment, +Complexity",+WordsPerComment,+Complexity,0.03747072599531616,,0.3285420944558522,,1.156533176691252,
"+Complexity, ExtractionRefactoring",ExtractionRefactoring,+Complexity,0.01920374707259953,,0.38862559241706157,,1.368038977428568,
"+Complexity, HighHunksCount",HighHunksCount,+Complexity,0.10983606557377049,,0.35,,1.2320692497938994,
"+Complexity, LowChangeSet",LowChangeSet,+Complexity,0.13325526932084308,,0.3954134815844336,,1.391933690326077,
"+Complexity, LowCodeChurn",LowCodeChurn,+Complexity,0.12060889929742388,,0.3401585204755614,,1.1974252946666506,
"+Complexity, MajorContributor",MajorContributor,+Complexity,0.23817330210772833,,0.3314863102998696,,1.1668973989945945,
"+Complexity, RenameRefactoring",RenameRefactoring,+Complexity,0.0117096018735363,,0.3496503496503497,,1.230838411382517,
"+Coupling, +Contributor",+Contributor,+Coupling,0.1288056206088993,,0.3481012658227848,,1.0624677663068556,
"+Size, +Contributor",+Contributor,+Size,0.1505854800936768,,0.40696202531645564,,1.0984373249691943,
"+Coupling, +NumPullRequests",+NumPullRequests,+Coupling,0.21030444964871195,,0.3259528130671506,,0.9948666989254705,
"+WordsPerComment, +Coupling",+WordsPerComment,+Coupling,0.03629976580796253,,0.3182751540041068,,0.9714331004985961,
"+Coupling, ExtractionRefactoring",ExtractionRefactoring,+Coupling,0.01920374707259953,,0.38862559241706157,,1.1861553106653702,
"+Coupling, HighHunksCount",HighHunksCount,+Coupling,0.12388758782201405,,0.394776119402985,,1.2049278269126134,
"+Coupling, LowChangeSet",LowChangeSet,+Coupling,0.12857142857142856,,0.3815149409312022,,1.16445232149838,
"+Coupling, LowCodeChurn",LowCodeChurn,+Coupling,0.11428571428571428,,0.3223249669749009,,0.9837938591728569,
"+Coupling, MajorContributor",MajorContributor,+Coupling,0.25175644028103045,,0.35039113428943935,,1.0694568573380314,
"+Coupling, RenameRefactoring",RenameRefactoring,+Coupling,0.011475409836065573,,0.34265734265734266,,1.0458519321993232,
"+NumPullRequests, +Size",+NumPullRequests,+Size,0.2224824355971897,,0.3448275862068965,,0.9307293256026853,
"+Size, +WordsInDiscussion",+WordsInDiscussion,+Size,0.08665105386416862,,0.31329381879762913,,0.8456160595865211,
"+WordsPerComment, +Size",+WordsPerComment,+Size,0.04590163934426229,,0.4024640657084189,,1.0862968145227236,
"+Size, ExtractionRefactoring",ExtractionRefactoring,+Size,0.029508196721311476,,0.5971563981042654,,1.6117938178920437,
"+Size, HighHunksCount",HighHunksCount,+Size,0.1358313817330211,,0.4328358208955224,,1.1682736758684455,
"+Size, LowChangeSet",LowChangeSet,+Size,0.1702576112412178,,0.5052119527449618,,1.3636251821877288,
"+Size, LowCodeChurn",LowCodeChurn,+Size,0.15644028103044497,,0.44121532364597094,,1.1908909178054967,
"+Size, MajorContributor",MajorContributor,+Size,0.29414519906323183,,0.40938722294654495,,1.1049832123778425,
"+Size, RenameRefactoring",RenameRefactoring,+Size,0.01639344262295082,,0.4895104895104896,,1.3212451265548613,
"-Cohesion, ExtractionRefactoring",ExtractionRefactoring,-Cohesion,0.023653395784543327,,0.4786729857819905,,2.5327554514115236,
"-Cohesion, RenameRefactoring",RenameRefactoring,-Cohesion,0.01053864168618267,,0.3146853146853147,,1.6650635609743416,
"-Complexity, ExtractionRefactoring",ExtractionRefactoring,-Complexity,0.01686182669789227,,0.34123222748815163,,1.9823967501692619,
"-Complexity, RenameRefactoring",RenameRefactoring,-Complexity,0.010070257611241218,,0.30069930069930073,,1.746919746919747,
"-Size, MoveRefactoring",MoveRefactoring,-Size,0.010304449648711944,,0.6285714285714286,,3.2182254196642686,
"RenameRefactoring, -Size",RenameRefactoring,-Size,0.010070257611241218,,0.30069930069930073,,1.5395515755227986,
"+WordsPerComment, +Complexity, +Contributor","+WordsPerComment, +Contributor",+Complexity,0.026932084309133488,,0.3402366863905325,,1.1977004541529874,
"+Complexity, HighHunksCount, +Contributor","HighHunksCount, +Contributor",+Complexity,0.03911007025761124,,0.33333333333333337,,1.1733992855179995,
"+Complexity, LowChangeSet, +Contributor","LowChangeSet, +Contributor",+Complexity,0.06252927400468385,,0.4033232628398792,,1.4197776853473076,
"+Complexity, LowCodeChurn, +Contributor","LowCodeChurn, +Contributor",+Complexity,0.058782201405152223,,0.3621933621933622,,1.2749922972511596,
"+Complexity, MajorContributor, +Contributor","MajorContributor, +Contributor",+Complexity,0.07517564402810305,,0.4355495251017639,,1.5332205046863412,
"+WordsPerComment, +Complexity, +NumPullRequests","+WordsPerComment, +NumPullRequests",+Complexity,0.028337236533957845,,0.32180851063829785,,1.1328296293697706,
"+Complexity, +NumPullRequests, ExtractionRefactoring","+NumPullRequests, ExtractionRefactoring",+Complexity,0.01053864168618267,,0.3435114503816794,,1.209228271335343,
"+Complexity, +NumPullRequests, HighHunksCount","+NumPullRequests, HighHunksCount",+Complexity,0.06276346604215456,,0.3052391799544419,,1.0745023070119264,
"+Complexity, +NumPullRequests, LowChangeSet","+NumPullRequests, LowChangeSet",+Complexity,0.07470725995316159,,0.39382716049382716,,1.3863495262231178,
"+Complexity, +NumPullRequests, LowCodeChurn","+NumPullRequests, LowCodeChurn",+Complexity,0.06744730679156909,,0.3235955056179775,,1.1391202052669118,
"+Complexity, +NumPullRequests, MajorContributor","+NumPullRequests, MajorContributor",+Complexity,0.1379391100702576,,0.30661114003123374,,1.0793318779335268,
"+Complexity, +Size, ExtractionRefactoring",ExtractionRefactoring,"+Complexity, +Size",0.017330210772833723,,0.3507109004739336,,1.5035497439996952,
"+Complexity, +Size, LowChangeSet",LowChangeSet,"+Complexity, +Size",0.11311475409836065,,0.33564975677553854,,1.4389803829634031,
"+WordsPerComment, +Complexity, +WordsInDiscussion","+WordsPerComment, +WordsInDiscussion",+Complexity,0.03747072599531616,,0.3285420944558522,,1.156533176691252,
"+Complexity, HighHunksCount, +WordsInDiscussion","HighHunksCount, +WordsInDiscussion",+Complexity,0.03395784543325527,,0.30208333333333337,,1.063393102500687,
"+Complexity, LowChangeSet, +WordsInDiscussion","LowChangeSet, +WordsInDiscussion",+Complexity,0.03325526932084309,,0.3669250645994832,,1.2916488259190382,
"+Complexity, LowCodeChurn, +WordsInDiscussion","LowCodeChurn, +WordsInDiscussion",+Complexity,0.03138173302107728,,0.3145539906103286,,1.1072922835169854,
"+Complexity, MajorContributor, +WordsInDiscussion","MajorContributor, +WordsInDiscussion",+Complexity,0.059250585480093675,,0.30335731414868106,,1.067877767036165,
"+WordsPerComment, +Complexity, HighHunksCount","+WordsPerComment, HighHunksCount",+Complexity,0.01826697892271663,,0.4406779661016949,,1.551273631701762,
"+WordsPerComment, +Complexity, LowChangeSet","+WordsPerComment, LowChangeSet",+Complexity,0.020608899297423888,,0.4074074074074074,,1.434154682299777,
"+WordsPerComment, +Complexity, LowCodeChurn","+WordsPerComment, LowCodeChurn",+Complexity,0.020140515222482436,,0.3510204081632653,,1.235661288423036,
"+WordsPerComment, +Complexity, MajorContributor","+WordsPerComment, MajorContributor",+Complexity,0.029039812646370025,,0.4320557491289199,,1.5209217219954558,
"+Complexity, ExtractionRefactoring, HighHunksCount","ExtractionRefactoring, HighHunksCount",+Complexity,0.013583138173302109,,0.37662337662337664,,1.3257888031177396,
"+Complexity, LowChangeSet, ExtractionRefactoring","LowChangeSet, ExtractionRefactoring",+Complexity,0.010070257611241218,,0.5180722891566265,,1.8237169618291798,
"+Complexity, ExtractionRefactoring, MajorContributor","ExtractionRefactoring, MajorContributor",+Complexity,0.017330210772833723,,0.4021739130434782,,1.415731746657586,
"+Complexity, LowChangeSet, HighHunksCount","LowChangeSet, HighHunksCount",+Complexity,0.047775175644028105,,0.504950495049505,,1.7775256503391477,
"+Complexity, HighHunksCount, LowCodeChurn","HighHunksCount, LowCodeChurn",+Complexity,0.03770491803278689,,0.4878787878787879,,1.717429863349072,
"+Complexity, MajorContributor, HighHunksCount","MajorContributor, HighHunksCount",+Complexity,0.10351288056206089,,0.3830155979202773,,1.348290686825708,
