items,antecedent,consequent,support_low,support_high,confidence_low,confidence_high,lift_low,lift_high
+Complexity,,+Complexity,0.3446261682242991,,0.3446261682242991,,1.0,
+Coupling,,+Coupling,0.33119158878504673,,0.33119158878504673,,1.0,
+Size,,+Size,0.4903621495327103,,0.4903621495327103,,1.0,
"+Complexity, +NumPullRequests",+NumPullRequests,+Complexity,0.014894859813084112,,0.6,,1.7410169491525422,
"+Complexity, +Size",,"+Complexity, +Size",0.3098714953271028,,0.3098714953271028,,1.0,
"+Complexity, +WordsInDiscussion",+WordsInDiscussion,+Complexity,0.01723130841121495,,0.6344086021505376,,1.8408602150537632,
"+WordsPerComment, +Complexity",+WordsPerComment,+Complexity,0.012850467289719626,,0.6027397260273972,,1.7489667982354304,
"+Complexity, ExtractionRefactoring",ExtractionRefactoring,+Complexity,0.035046728971962614,,0.7185628742514969,,2.0850502385060383,
"+Complexity, HighHunksCount",HighHunksCount,+Complexity,0.14953271028037382,,0.5084409136047666,,1.4753404137141701,
"+Complexity, LowChangeSet",LowChangeSet,+Complexity,0.1810747663551402,,0.5077805077805078,,1.473424117491914,
"+Complexity, LowCodeChurn",LowCodeChurn,+Complexity,0.15625,,0.43354943273905994,,1.2580281844902892,
"+Complexity, MajorContributor",MajorContributor,+Complexity,0.2830023364485981,,0.5126984126984127,,1.4876943771859024,
"+Complexity, RenameRefactoring",RenameRefactoring,+Complexity,0.01080607476635514,,0.5,,1.4508474576271186,
"+Size, +Contributor",+Contributor,+Size,0.23422897196261683,,0.4064875823618855,,0.8289538308559237,
"+Coupling, +WordsInDiscussion",+WordsInDiscussion,+Coupling,0.011098130841121495,,0.4086021505376344,,1.233733477461076,
"+Coupling, ExtractionRefactoring",ExtractionRefactoring,+Coupling,0.024240654205607476,,0.49700598802395207,,1.500660055550275,
"+Coupling, HighHunksCount",HighHunksCount,+Coupling,0.12938084112149534,,0.4399205561072493,,1.3282962822850277,
"+Coupling, LowChangeSet",LowChangeSet,+Coupling,0.15216121495327103,,0.42669942669942673,,1.2883763994875106,
"+Coupling, LowCodeChurn",LowCodeChurn,+Coupling,0.12879672897196262,,0.3573743922204214,,1.079056365928327,
