items,antecedent,consequent,support_low,support_high,confidence_low,confidence_high,lift_low,lift_high
+Coupling,,+Coupling,0.35117538208484683,,0.35117538208484683,,1.0,
+Size,,+Size,0.46823384277979574,,0.46823384277979574,,1.0,
"+Complexity, +Contributor",+Contributor,+Complexity,0.06723322596120897,,0.32069303694017653,,1.1351848864614547,
"+Complexity, +NumPullRequests",+NumPullRequests,+Complexity,0.05057912411760675,,0.3704819277108434,,1.3114269304291402,
"+Complexity, +WordsInDiscussion",+WordsInDiscussion,+Complexity,0.048385991364539783,,0.3574683544303797,,1.2653616592658103,
"+WordsPerComment, +Complexity",+WordsPerComment,+Complexity,0.01857309300253581,,0.3203309692671395,,1.1339032441962233,
"+Complexity, -WordsPerComment",-WordsPerComment,+Complexity,0.019738194777602632,,0.3622641509433962,,1.282337755074016,
"+Complexity, ExtractionRefactoring",ExtractionRefactoring,+Complexity,0.03927078335960524,,0.5907216494845361,,2.091028526838638,
"+Complexity, HighHunksCount",HighHunksCount,+Complexity,0.11349461997121513,,0.4375165125495376,,1.5487150496385984,
"+Complexity, LowChangeSet",LowChangeSet,+Complexity,0.11445411555068193,,0.3812785388127854,,1.3496446287766501,
"+Complexity, MajorContributor",MajorContributor,+Complexity,0.24563086834349943,,0.314827828531272,,1.1144233008490514,
"+Complexity, RenameRefactoring",RenameRefactoring,+Complexity,0.01137687615653485,,0.3068391866913124,,1.0861452142195387,
"+Coupling, +Contributor",+Contributor,+Coupling,0.09725173051881297,,0.4638770840143838,,1.3209271141401004,
"+Size, +Contributor",+Contributor,+Size,0.11445411555068193,0.12050426399703375,0.5459300424975483,0.33299180327868855,1.165934609204,1.1513831967213115
"+Coupling, +NumPullRequests",+NumPullRequests,+Coupling,0.061407717085874856,,0.4497991967871486,,1.2808392038097745,
"+Coupling, +WordsInDiscussion",+WordsInDiscussion,+Coupling,0.05791241176067439,,0.42784810126582273,,1.2183317028824394,
"+WordsPerComment, +Coupling",+WordsPerComment,+Coupling,0.025358097457336713,0.02521319985168706,0.4373522458628842,0.3207547169811321,1.245395515102526,1.7096353195614888
"+Coupling, -WordsPerComment",-WordsPerComment,+Coupling,0.024330066479336578,,0.44654088050314467,,1.2715608874748991,
"+Coupling, ExtractionRefactoring",ExtractionRefactoring,+Coupling,0.03166335412240422,,0.4762886597938144,,1.3562700692918708,
"+Coupling, HighHunksCount",HighHunksCount,+Coupling,0.12384346514974985,,0.4774108322324967,,1.3594655451023339,
"+Coupling, LowChangeSet",LowChangeSet,+Coupling,0.12774998286615036,,0.4255707762557077,,1.2118468376945806,
"+Coupling, LowCodeChurn",LowCodeChurn,+Coupling,0.10389966417654718,,0.33688888888888885,,0.9593180674820018,
"+Coupling, MajorContributor",MajorContributor,+Coupling,0.27523816050990335,,0.3527758257203092,,1.0045573913124572,
"+Coupling, MinorContributor",MinorContributor,+Coupling,0.07593722157494345,,0.3454942313688805,,0.9838224687555299,
"+Coupling, RenameRefactoring",RenameRefactoring,+Coupling,0.01247344253306833,,0.33641404805914976,,0.9579659202246398,
"+NumPullRequests, +Size",+NumPullRequests,+Size,0.08066616407374409,0.06488691138301816,0.5908634538152611,0.45454545454545453,1.2618982222802217,1.5716783216783214
"+Size, +WordsInDiscussion",+WordsInDiscussion,+Size,0.08107737646494415,0.0582128290693363,0.5989873417721518,0.4644970414201184,1.2792482880265614,1.6060878470641784
"+WordsPerComment, +Size",+WordsPerComment,+Size,0.03536426564320472,0.041898405635891735,0.6099290780141845,0.5330188679245284,1.3026163901207504,1.8430152394775037
"-WordsPerComment, +Size",-WordsPerComment,+Size,0.0322801727092043,0.012235817575083427,0.5924528301886792,0.5076923076923077,1.2652926295788962,1.7554437869822483
"+Size, ExtractionRefactoring",ExtractionRefactoring,+Size,0.05009937632787335,0.017797552836484983,0.7536082474226804,0.5333333333333333,1.6094698387213597,1.844102564102564
"+Size, HighCodeChurn",HighCodeChurn,+Size,0.06730176135974231,,0.35464066449981946,,0.757400751714998,
"+Size, HighHunksCount",HighHunksCount,+Size,0.1570145980398876,0.05635891731553578,0.6052840158520475,0.34703196347031967,1.292696000482615,1.1999297506146822
"+Size, LowChangeSet",LowChangeSet,+Size,0.17229799191282297,0.06303299962921764,0.573972602739726,0.4557640750670241,1.2258246848031824,1.5758919364817485
"+Size, LowCodeChurn",LowCodeChurn,+Size,0.14550065108628607,0.06711160548757879,0.47177777777777774,0.32437275985663083,1.0075687288576634,1.1215811965811966
"+Size, MajorContributor",MajorContributor,+Size,0.37810979370845044,,0.48462754743499653,,1.0350117893185062,
"+Size, MinorContributor",MinorContributor,+Size,0.09012404907134534,,0.4100405363267851,,0.8757174276264815,
"+Size, RenameRefactoring",RenameRefactoring,+Size,0.015146323075868686,,0.40850277264325324,,0.8724332487760111,
"-Cohesion, ExtractionRefactoring",ExtractionRefactoring,-Cohesion,0.028305119594270442,,0.42577319587628865,,2.2084808748776847,
"-Cohesion, HighHunksCount",HighHunksCount,-Cohesion,0.08066616407374409,,0.3109643328929987,,1.612968567807232,
"RenameRefactoring, -Size",RenameRefactoring,-Size,0.012062230141868274,,0.32532347504621073,,1.4641563307832388,
"+Complexity, +NumPullRequests, +Contributor","+NumPullRequests, +Contributor",+Complexity,0.015146323075868686,,0.33843797856049,,1.1979981914546602,
"+Complexity, +Size, +Contributor",+Contributor,"+Complexity, +Size",0.06462888081694194,,0.3082706766917293,,1.1410394326760585,
"+Complexity, HighHunksCount, +Contributor","HighHunksCount, +Contributor",+Complexity,0.026591734630936878,,0.48682559598494357,,1.7232586780728558,
"+Complexity, LowChangeSet, +Contributor","LowChangeSet, +Contributor",+Complexity,0.028373654992803782,,0.4198782961460446,,1.4862795291283204,
"+Complexity, MajorContributor, +Contributor","MajorContributor, +Contributor",+Complexity,0.04214927009800562,,0.6699346405228758,,2.3714256040439787,
"+Complexity, +Coupling, ExtractionRefactoring",ExtractionRefactoring,"+Complexity, +Coupling",0.026111986841203482,,0.39278350515463917,,1.936838162795316,
"+Complexity, +Coupling, HighHunksCount",HighHunksCount,"+Complexity, +Coupling",0.08340758001507778,,0.3215323645970938,,1.5854946711173352,
"+Complexity, +NumPullRequests, +Size",+NumPullRequests,"+Complexity, +Size",0.04859159756013981,,0.35592369477911645,,1.3174232954140255,
"+Complexity, +NumPullRequests, +WordsInDiscussion","+NumPullRequests, +WordsInDiscussion",+Complexity,0.025837845247070113,,0.3878600823045268,,1.3729418876529234,
"+Complexity, +NumPullRequests, HighHunksCount","+NumPullRequests, HighHunksCount",+Complexity,0.022068398327736275,,0.5070866141732283,,1.7949783569630213,
"+Complexity, +NumPullRequests, LowChangeSet","+NumPullRequests, LowChangeSet",+Complexity,0.017133849633335616,,0.4019292604501607,,1.4227437746793534,
"+Complexity, +NumPullRequests, MajorContributor","+NumPullRequests, MajorContributor",+Complexity,0.043999725858405864,,0.4672489082969432,,1.653961383056938,
"+Complexity, +Size, +WordsInDiscussion",+WordsInDiscussion,"+Complexity, +Size",0.04646700020560619,,0.3432911392405063,,1.2706648941294336,
"+WordsPerComment, +Complexity, +Size",+WordsPerComment,"+Complexity, +Size",0.018161880611335755,,0.3132387706855792,,1.159428438121077,
"+Complexity, -WordsPerComment, +Size",-WordsPerComment,"+Complexity, +Size",0.01884723459666918,,0.34591194968553457,,1.2803656158958994,
"+Complexity, +Size, ExtractionRefactoring",ExtractionRefactoring,"+Complexity, +Size",0.03742032759920499,,0.5628865979381442,,2.0834800483296454,
"+Complexity, +Size, HighHunksCount",HighHunksCount,"+Complexity, +Size",0.10636693852374751,,0.41003963011889033,,1.5177291331975467,
"+Complexity, +Size, LowChangeSet",LowChangeSet,"+Complexity, +Size",0.10849153587828113,,0.36141552511415526,,1.3377508693405986,
"+Complexity, +Size, MajorContributor",MajorContributor,"+Complexity, +Size",0.23569323555616475,,0.30209065354884046,,1.1181645677146452,
"+WordsPerComment, +Complexity, +WordsInDiscussion","+WordsPerComment, +WordsInDiscussion",+Complexity,0.01857309300253581,,0.3203309692671395,,1.1339032441962233,
"+Complexity, -WordsPerComment, +WordsInDiscussion","-WordsPerComment, +WordsInDiscussion",+Complexity,0.019738194777602632,,0.3622641509433962,,1.282337755074016,
"+Complexity, HighHunksCount, +WordsInDiscussion","HighHunksCount, +WordsInDiscussion",+Complexity,0.01857309300253581,,0.5152091254752852,,1.8237303129087545,
"+Complexity, LowChangeSet, +WordsInDiscussion","LowChangeSet, +WordsInDiscussion",+Complexity,0.018161880611335755,,0.4089506172839506,,1.4475978788913448,
"+Complexity, LowCodeChurn, +WordsInDiscussion","LowCodeChurn, +WordsInDiscussion",+Complexity,0.012610513330135015,,0.3006535947712418,,1.0642495393758344,
"+Complexity, MajorContributor, +WordsInDiscussion","MajorContributor, +WordsInDiscussion",+Complexity,0.042354876293605646,,0.42415923129718597,,1.5014331256325182,
"+WordsPerComment, +Complexity, MajorContributor","+WordsPerComment, MajorContributor",+Complexity,0.015351929271468714,,0.39999999999999997,,1.4159146045608926,
"-Cohesion, +Complexity, ExtractionRefactoring",ExtractionRefactoring,"-Cohesion, +Complexity",0.020629154958536084,,0.31030927835051547,,2.5946834844770033,
"+Complexity, -WordsPerComment, MajorContributor","-WordsPerComment, MajorContributor",+Complexity,0.01768213282160236,,0.4161290322580645,,1.473007935389961,
"+Complexity, ExtractionRefactoring, HighHunksCount","ExtractionRefactoring, HighHunksCount",+Complexity,0.0277568364060037,,0.623076923076923,,2.205559287873698,
"+Complexity, LowChangeSet, ExtractionRefactoring","LowChangeSet, ExtractionRefactoring",+Complexity,0.01809334521280241,,0.6947368421052631,,2.4592201026583926,
"+Complexity, ExtractionRefactoring, MajorContributor","ExtractionRefactoring, MajorContributor",+Complexity,0.03611815502707148,,0.6002277904328018,,2.1246782363427976,
"+Complexity, HighHunksCount, HighCodeChurn","HighHunksCount, HighCodeChurn",+Complexity,0.019601123980535946,,0.3227990970654627,,1.1426398896851446,
"+Complexity, LowChangeSet, HighHunksCount","LowChangeSet, HighHunksCount",+Complexity,0.043382907271605785,0.012235817575083427,0.5209876543209877,0.37500000000000006,1.844185071372521,5.2132731958762895
"+Complexity, HighHunksCount, LowCodeChurn","HighHunksCount, LowCodeChurn",+Complexity,0.018161880611335755,,0.41798107255520506,,1.4795637626523526,
"+Complexity, MajorContributor, HighHunksCount","MajorContributor, HighHunksCount",+Complexity,0.10691522171201426,,0.46987951807228917,,1.6632731800564704,
"+Complexity, LowChangeSet, LowCodeChurn","LowChangeSet, LowCodeChurn",+Complexity,0.07161949146734288,,0.3175326648435126,,1.1239978439426717,
"+Complexity, LowChangeSet, MajorContributor","LowChangeSet, MajorContributor",+Complexity,0.09677198272907957,,0.42086438152011924,,1.4897700608345608,
"+Complexity, RenameRefactoring, MajorContributor","RenameRefactoring, MajorContributor",+Complexity,0.010897128366801453,,0.35491071428571425,,1.2563081591807026,
"+Coupling, +NumPullRequests, +Contributor","+NumPullRequests, +Contributor",+Coupling,0.021657185936536223,,0.4839203675344564,,1.3780019677391204,
"+Coupling, +Size, +Contributor",+Contributor,"+Coupling, +Size",0.07490919059694331,,0.35730630925138934,,1.2882274174171044,
"+Coupling, +WordsInDiscussion, +Contributor","+WordsInDiscussion, +Contributor",+Coupling,0.014049756699335206,,0.425311203319502,,1.2111076829888474,
"+Coupling, HighCodeChurn, +Contributor","HighCodeChurn, +Contributor",+Coupling,0.016448495648002194,,0.5139186295503212,,1.4634244191586137,
"+Coupling, HighHunksCount, +Contributor","HighHunksCount, +Contributor",+Coupling,0.032074566513604276,,0.5872020075282309,,1.6721047017651087,
"+Coupling, LowChangeSet, +Contributor","LowChangeSet, +Contributor",+Coupling,0.03426769926667123,,0.5070993914807301,,1.44400609310994,
"+Coupling, LowCodeChurn, +Contributor","LowCodeChurn, +Contributor",+Coupling,0.028099513398670412,,0.4087736789631107,,1.1640157591238773,
"+Coupling, MajorContributor, +Contributor","MajorContributor, +Contributor",+Coupling,0.04125830991707217,,0.6557734204793028,,1.8673672869269138,
"+Coupling, MinorContributor, +Contributor","MinorContributor, +Contributor",+Coupling,0.0559934206017408,,0.3815973843998131,,1.0866290858270244,
"+NumPullRequests, +Size, +Contributor","+NumPullRequests, +Contributor",+Size,0.02768830100747036,0.03596588802373007,0.6186830015313936,0.4898989898989899,1.321312013370106,1.6939199689199687
"+Size, +WordsInDiscussion, +Contributor","+WordsInDiscussion, +Contributor",+Size,0.020629154958536084,0.03299962921764924,0.6244813278008298,0.52046783625731,1.333695411876743,1.79961763382816
"+WordsPerComment, +Size, +Contributor","+WordsPerComment, +Contributor",+Size,0.012336371736001646,0.028921023359288096,0.6642066420664207,0.5864661654135338,1.418536170139219,2.02781954887218
"+Size, ExtractionRefactoring, +Contributor","ExtractionRefactoring, +Contributor",+Size,0.011034199163868138,,0.7815533980582524,,1.669151878083718,
"HighChangeSet, +Size, +Contributor","HighChangeSet, +Contributor",+Size,0.016174354053868824,0.02632554690396737,0.4748490945674045,0.30472103004291845,1.0141280940914812,1.0536315615714755
"+Size, HighCodeChurn, +Contributor","HighCodeChurn, +Contributor",+Size,0.017339455828935646,,0.5417558886509636,,1.1570199313972789,
"+Size, HighHunksCount, +Contributor","HighHunksCount, +Contributor",+Size,0.03666643821533822,,0.671267252195734,,1.4336154093659186,
"+Size, LowChangeSet, +Contributor","LowChangeSet, +Contributor",+Size,0.040367349736138716,0.0196514645902855,0.5973630831643002,0.4690265486725663,1.2757793832626325,1.6217494894486042
"+Size, LowCodeChurn, +Contributor","LowCodeChurn, +Contributor",+Size,0.03371941607840449,0.0292918057100482,0.4905284147557328,0.3969849246231156,1.0476141832114896,1.3726517201391573
