change_id,tags
1_change1,+Contributor|MinorContributor
3_change1,+Contributor|MinorContributor
4_change2,-Cohesion|+Coupling|+Complexity|+Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
4_change1,+Contributor|MinorContributor
5_change1,+Contributor|MinorContributor
7_change1,+Contributor|MinorContributor
9_change1,HighHunksCount|+Contributor|MinorContributor
10_change1,+Contributor|MinorContributor
13_change4,HighHunksCount|+Contributor|MinorContributor
13_change3,HighHunksCount|+Contributor|MinorContributor
13_change2,-Size|LowChangeSet|LowCodeChurn|MajorContributor
13_change1,+Cohesion|-Complexity|-Size|LowChangeSet|+Contributor|MinorContributor
15_change1,+Contributor|MinorContributor
17_change8,+Cohesion|-Coupling|-Complexity|-Size|LowChangeSet|HighHunksCount|LowCodeChurn|+Contributor|MajorContributor
17_change7,+Cohesion|-Coupling|-Complexity|-Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
17_change6,HighHunksCount|+Contributor|MinorContributor
17_change5,-Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
17_change4,-Coupling|-Size|LowChangeSet|MajorContributor
17_change3,-Size|LowChangeSet|MajorContributor
17_change2,+Cohesion|-Coupling|-Complexity|-Size|LowChangeSet|LowCodeChurn|MajorContributor
17_change1,-Cohesion|-Coupling|-Complexity|-Size|LowChangeSet|HighHunksCount|+Contributor|MinorContributor
18_change1,-Size|LowChangeSet|LowCodeChurn|MajorContributor
19_change1,+Contributor|MinorContributor
22_change1,-Size|LowChangeSet|LowCodeChurn|MajorContributor
34_change1,-Size|LowChangeSet|LowCodeChurn|MajorContributor
40_change1,LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
54_change1,-Size|LowChangeSet|LowCodeChurn|MajorContributor
62_change1,-Size|LowChangeSet|LowCodeChurn|MajorContributor
64_change1,-Size|LowChangeSet|LowCodeChurn|MajorContributor
65_change1,+Contributor|MinorContributor
66_change1,+Inheritance|LowCodeChurn|MajorContributor
70_change2,-Size|+Contributor|MinorContributor
70_change1,LowChangeSet|LowCodeChurn|MajorContributor
78_change1,+Contributor|MinorContributor
81_change1,-Size|LowChangeSet|LowCodeChurn|MajorContributor
82_change2,-Size|LowChangeSet|LowCodeChurn|+Contributor|MajorContributor
82_change1,LowChangeSet|LowCodeChurn|MajorContributor
107_change1,-Size|LowChangeSet|LowCodeChurn|MajorContributor
121_change1,+Contributor|MinorContributor
123_change1,-Size|LowChangeSet|LowCodeChurn|MajorContributor
140_change2,-Size|LowChangeSet|LowCodeChurn|+Contributor|MajorContributor
140_change1,LowChangeSet|LowCodeChurn|MajorContributor
148_change2,-Coupling|HighHunksCount|+Contributor|MajorContributor
148_change1,+Contributor|MinorContributor
149_change4,LowChangeSet|LowCodeChurn|MajorContributor
149_change3,LowChangeSet|LowCodeChurn|MajorContributor
149_change2,-Coupling|+Contributor|MinorContributor
149_change1,+Contributor|MinorContributor
150_change2,-Coupling|+Contributor|MinorContributor
150_change1,+Contributor|MinorContributor
151_change4,LowChangeSet|LowCodeChurn|MajorContributor
151_change3,LowChangeSet|LowCodeChurn|MajorContributor
151_change2,-Coupling|+Contributor|MinorContributor
151_change1,+Contributor|MinorContributor
152_change4,+Cohesion|+Coupling|+Complexity|+Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
152_change3,-Cohesion|-Coupling|-Complexity|-Size|HighHunksCount|+Contributor|MajorContributor
152_change2,+Contributor|MinorContributor
152_change1,-Coupling|+Complexity|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
153_change1,+Cohesion|+Complexity|+Size|LowChangeSet|LowCodeChurn|MajorContributor
156_change3,+Contributor|MinorContributor
156_change2,HighHunksCount|+Contributor|MinorContributor
156_change1,+Cohesion|-Coupling|-Complexity|-Size|LowChangeSet|HighHunksCount|+Contributor|MinorContributor
157_change2,-Coupling|HighHunksCount|+Contributor|MajorContributor
157_change1,-Cohesion|-Coupling|+Complexity|-Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
158_change2,LowCodeChurn|MajorContributor
158_change1,+Contributor|MinorContributor
159_change2,+Cohesion|+Coupling|+Complexity|+Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
159_change1,+Contributor|MinorContributor
160_change2,-Coupling|LowChangeSet|HighHunksCount|LowCodeChurn|+Contributor|MinorContributor
160_change1,+Size|LowChangeSet|LowCodeChurn|MajorContributor
161_change1,+Contributor|MinorContributor
163_change4,-Coupling|HighHunksCount|+Contributor|MinorContributor
163_change3,HighHunksCount|+Contributor|MajorContributor
163_change2,+Coupling|LowChangeSet|HighHunksCount|MajorContributor
163_change1,-Cohesion|-Coupling|+Complexity|-Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
164_change2,-Coupling|+Size|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
164_change1,+Cohesion|+Coupling|+Complexity|+Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor|RenameRefactoring
165_change1,-Coupling|LowChangeSet|MajorContributor
168_change1,-Size|LowChangeSet|MajorContributor
169_change1,+Cohesion|+Coupling|+Complexity|+Size|MajorContributor
172_change3,HighHunksCount|+Contributor|MinorContributor
172_change2,HighHunksCount|+Contributor|MinorContributor
172_change1,-Size|LowChangeSet|LowCodeChurn|MajorContributor
173_change5,HighHunksCount|+Contributor|MinorContributor
173_change4,-Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
173_change3,-Size|LowChangeSet|HighHunksCount|MajorContributor
173_change2,+Cohesion|-Coupling|-Complexity|-Size|LowChangeSet|LowCodeChurn|MajorContributor
173_change1,-Cohesion|-Coupling|-Complexity|-Size|LowChangeSet|HighHunksCount|+Contributor|MinorContributor
175_change1,-Coupling|+Contributor|MinorContributor
176_change1,+Cohesion|+Complexity|+Size|LowChangeSet|LowCodeChurn|MajorContributor
177_change3,+Coupling|LowCodeChurn|MajorContributor
177_change2,HighHunksCount|+Contributor|MinorContributor
177_change1,-Cohesion|+Complexity|+Size|MajorContributor
178_change2,-Coupling|+Contributor|MinorContributor
178_change1,HighHunksCount|+Contributor|MinorContributor
179_change1,+Contributor|MinorContributor
180_change1,HighHunksCount|+Contributor|MinorContributor
181_change3,HighHunksCount|+Contributor|MinorContributor
181_change2,-Cohesion|-Coupling|+Complexity|-Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
181_change1,+Cohesion|+Coupling|+Complexity|+Size|MajorContributor
182_change1,HighHunksCount|+Contributor|MinorContributor
183_change1,HighHunksCount|+Contributor|MinorContributor
184_change2,LowChangeSet|LowCodeChurn|MajorContributor
184_change1,HighHunksCount|+Contributor|MinorContributor
185_change1,+Contributor|MinorContributor
