change_id,tags
1_change6,+NumPullRequests|+WordsInDiscussion|+WordsPerComment|HighChangeSet|HighHunksCount|+Contributor|MajorContributor
1_change5,+Coupling|+Size|+NumPullRequests|+WordsInDiscussion|HighHunksCount|+Contributor|MajorContributor
1_change4,+NumPullRequests|+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighHunksCount|HighCodeChurn|+Contributor|MajorContributor
1_change3,-Coupling|-Size|+NumPullRequests|+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighHunksCount|HighCodeChurn|MajorContributor
1_change2,+Coupling|+Size|+NumPullRequests|+WordsInDiscussion|+WordsPerComment|+Contributor|MinorContributor
1_change1,+NumPullRequests|+WordsInDiscussion|-WordsPerComment|MinorContributor
2_change6,+NumPullRequests|+WordsInDiscussion|+WordsPerComment|HighChangeSet|+Contributor|MajorContributor
2_change5,+NumPullRequests|+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighCodeChurn|+Contributor|MajorContributor
2_change4,+NumPullRequests|+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighCodeChurn|MajorContributor
2_change3,+NumPullRequests|+Contributor|MajorContributor
2_change2,+NumPullRequests|MajorContributor
2_change1,+NumPullRequests|HighHunksCount|MinorContributor
4_change9,+NumPullRequests|+WordsInDiscussion|+WordsPerComment|HighChangeSet|HighHunksCount|+Contributor|MajorContributor
4_change8,+Coupling|-Complexity|+Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|LowCodeChurn|+Contributor|MajorContributor
4_change7,+Coupling|+Size|+NumPullRequests|+WordsInDiscussion|HighHunksCount|+Contributor|MinorContributor
4_change6,+NumPullRequests|+WordsInDiscussion|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
4_change5,+NumPullRequests|+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighHunksCount|HighCodeChurn|+Contributor|MajorContributor
4_change4,-Coupling|+Complexity|-Size|+NumPullRequests|+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighHunksCount|HighCodeChurn|MajorContributor
4_change3,+Coupling|-Complexity|+Size|+NumPullRequests|+WordsInDiscussion|+WordsPerComment|HighHunksCount|+Contributor|MajorContributor
4_change2,+NumPullRequests|+WordsInDiscussion|-WordsPerComment|MajorContributor
4_change1,+Size|+NumPullRequests|LowCodeChurn|+Contributor|MinorContributor
6_change7,+Coupling|+Size|+NumPullRequests|HighHunksCount|+Contributor|MajorContributor
6_change6,+NumPullRequests|HighHunksCount|MajorContributor
6_change5,+NumPullRequests|LowCodeChurn|MajorContributor
6_change4,+Coupling|+NumPullRequests|HighHunksCount|+Contributor|MinorContributor
6_change3,-Cohesion|+Coupling|+Size|+NumPullRequests|+WordsInDiscussion|+WordsPerComment|LowChangeSet|HighHunksCount|LowCodeChurn|+Contributor|MajorContributor
6_change2,+NumPullRequests|+Contributor|MinorContributor
6_change1,+Size|+NumPullRequests|LowCodeChurn|+Contributor|MinorContributor
8_change15,-Cohesion|-Complexity|-Size|+NumPullRequests|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
8_change14,+Coupling|+NumPullRequests|+Contributor|MinorContributor
8_change13,+Size|+NumPullRequests|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
8_change12,+Coupling|+NumPullRequests|HighHunksCount|+Contributor|MajorContributor
8_change11,+NumPullRequests|HighHunksCount|MajorContributor
8_change10,+NumPullRequests|LowCodeChurn|MajorContributor
8_change9,+NumPullRequests|MajorContributor
8_change8,-Size|+NumPullRequests|HighHunksCount|+Contributor|MinorContributor
8_change7,+Coupling|+Size|+NumPullRequests|MinorContributor
8_change6,-Coupling|+NumPullRequests|MinorContributor
8_change5,+NumPullRequests|MinorContributor
8_change4,+NumPullRequests|LowCodeChurn|MinorContributor
8_change3,+NumPullRequests|MinorContributor
8_change2,+Coupling|+NumPullRequests|MinorContributor
