change_id,tags
1_change2,+Cohesion|+Coupling|+Size|HighChangeSet|HighHunksCount|HighCodeChurn|MajorContributor|ExtractionRefactoring
1_change1,+Coupling|+Contributor|MinorContributor
2_change3,+Coupling|+Complexity|+Size|LowChangeSet|HighHunksCount|LowCodeChurn|+Contributor|MajorContributor|ExtractionRefactoring
2_change2,+Coupling|+Complexity|+Size|HighHunksCount|+Contributor|MajorContributor
2_change1,+Coupling|+Complexity|+Size|LowChangeSet|HighHunksCount|+Contributor|MajorContributor
4_change8,+Size|+NumPullRequests|LowChangeSet|LowCodeChurn|MajorContributor
4_change7,+Coupling|+Size|HighChangeSet|HighHunksCount|HighCodeChurn|MajorContributor
4_change6,+Contributor|MinorContributor
4_change5,+Size|LowChangeSet|HighHunksCount|LowCodeChurn|+Contributor|MinorContributor
4_change4,+Coupling|+Contributor|MinorContributor
4_change3,+Cohesion|+Coupling|+Complexity|+Size|LowChangeSet|HighHunksCount|+Contributor|MajorContributor
4_change2,+Coupling|LowChangeSet|LowCodeChurn|MajorContributor
4_change1,+Size|+NumPullRequests|+WordsInDiscussion|+WordsPerComment|+Contributor|MinorContributor
5_change2,+Coupling|+Size|HighChangeSet|HighHunksCount|HighCodeChurn|MajorContributor
5_change1,+Contributor|MinorContributor
6_change6,-Coupling|+NumPullRequests|HighCodeChurn|+Contributor|MinorContributor
6_change5,+NumPullRequests|HighChangeSet|HighHunksCount|HighCodeChurn|MajorContributor
6_change4,+Coupling|+Complexity|+Size|+NumPullRequests|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
6_change3,+Coupling|+Size|+Contributor|MinorContributor
6_change2,-Coupling|+Contributor|MinorContributor
6_change1,+Contributor|MinorContributor
9_change1,-Size|+NumPullRequests|+Contributor|MajorContributor
10_change2,+Coupling|+Size|HighChangeSet|HighHunksCount|HighCodeChurn|MajorContributor
10_change1,+Size|+NumPullRequests|+WordsInDiscussion|+WordsPerComment|LowCodeChurn|+Contributor|MinorContributor
11_change2,-Cohesion|+Coupling|+Complexity|-Size|HighChangeSet|HighHunksCount|HighCodeChurn|MajorContributor|RenameRefactoring
11_change1,+Size|+NumPullRequests|+WordsInDiscussion|+WordsPerComment|LowCodeChurn|+Contributor|MinorContributor
12_change10,-Coupling|+NumPullRequests|HighChangeSet|HighCodeChurn|MajorContributor
12_change9,+NumPullRequests|LowChangeSet|LowCodeChurn|MajorContributor
12_change8,+Coupling|+Size|+NumPullRequests|HighCodeChurn|+Contributor|MinorContributor
12_change7,+Contributor|MinorContributor
12_change6,-Coupling|-Complexity|-Size|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor|ExtractionRefactoring
12_change5,-Complexity|-Size|MinorContributor
12_change4,-Cohesion|+Coupling|+Complexity|+Size|LowChangeSet|HighHunksCount|LowCodeChurn|+Contributor|MajorContributor
12_change3,-Cohesion|+Coupling|+Complexity|+Size|HighHunksCount|+Contributor|MajorContributor
12_change2,-Cohesion|+Coupling|+Size|LowChangeSet|HighHunksCount|+Contributor|MajorContributor
12_change1,LowChangeSet|LowCodeChurn|MinorContributor
14_change5,-Size|+NumPullRequests|+Contributor|MinorContributor
14_change4,+Coupling|+Size|HighCodeChurn|+Contributor|MinorContributor
14_change3,-Cohesion|+Complexity|+Size|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor|ExtractionRefactoring
14_change2,+Coupling|+Size|HighChangeSet|+Contributor|MinorContributor
14_change1,-Cohesion|-Coupling|+Complexity|+Size|LowChangeSet|HighHunksCount|LowCodeChurn|+Contributor|MajorContributor|ExtractionRefactoring
17_change5,+Cohesion|-Coupling|-Complexity|-Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|HighHunksCount|LowCodeChurn|+Contributor|MinorContributor
17_change4,LowHunksCount|+Contributor|MinorContributor
17_change3,+Cohesion|+Coupling|+Complexity|+Size|+Inheritance|+NumPullRequests|HighHunksCount|LowCodeChurn|+Contributor|MinorContributor
17_change2,-Cohesion|-Coupling|-Complexity|-Size|HighCodeChurn|+Contributor|MinorContributor
17_change1,-Cohesion|-Coupling|-Complexity|-Size|HighHunksCount|MajorContributor|ExtractionRefactoring|HierarchicalRefactoring
23_change3,+Size|LowHunksCount|LowCodeChurn|MajorContributor
23_change2,LowChangeSet|HighHunksCount|LowCodeChurn|+Contributor|MajorContributor
23_change1,-Cohesion|+Coupling|+Size|LowChangeSet|MajorContributor
25_change13,-Cohesion|-Coupling|MajorContributor
25_change12,+Coupling|+Size|HighChangeSet|HighCodeChurn|MajorContributor
25_change11,-Cohesion|+Coupling|+Size|+NumPullRequests|+WordsInDiscussion|+WordsPerComment|MajorContributor
25_change10,HighChangeSet|HighCodeChurn|+Contributor|MinorContributor
25_change9,-Cohesion|-Complexity|+Size|-Inheritance|+NumPullRequests|+WordsInDiscussion|+WordsPerComment|+Contributor|MajorContributor|ExtractionRefactoring
25_change8,+NumPullRequests|+WordsInDiscussion|+WordsPerComment|LowChangeSet|LowCodeChurn|MajorContributor
