change_id,tags
2_change9,-Complexity|-Size|+NumPullRequests|+WordsInDiscussion|LowCodeChurn|+Contributor|MajorContributor
2_change8,+WordsInDiscussion|HighChangeSet|LowHunksCount|HighCodeChurn|+Contributor|MinorContributor
2_change7,+WordsInDiscussion|MinorContributor
2_change6,+Coupling|+Complexity|+Size|+WordsInDiscussion|+WordsPerComment|HighCodeChurn|MajorContributor
2_change5,+Coupling|+Complexity|+Size|+Inheritance|+WordsInDiscussion|+WordsPerComment|MajorContributor
2_change4,-Complexity|-Size|+Inheritance|+WordsInDiscussion|+WordsPerComment|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
2_change3,+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighCodeChurn|MajorContributor
2_change2,+Complexity|+Size|HighChangeSet|MajorContributor
2_change1,+Complexity|+Size|+WordsInDiscussion|-WordsPerComment|LowCodeChurn|MajorContributor
3_change38,-Cohesion|+Coupling|+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|MajorContributor
3_change37,+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|HighHunksCount|+Contributor|MajorContributor
3_change36,-Cohesion|+Coupling|+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|HighHunksCount|MajorContributor|ExtractionRefactoring|RenameRefactoring
3_change35,-Cohesion|-Complexity|-Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
3_change34,+Cohesion|+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|LowCodeChurn|MajorContributor
3_change33,+NumPullRequests|+WordsInDiscussion|LowCodeChurn|MajorContributor
3_change32,+WordsInDiscussion|HighChangeSet|LowHunksCount|HighCodeChurn|+Contributor|MinorContributor
3_change31,+Coupling|+WordsInDiscussion|MinorContributor
3_change30,-Complexity|+WordsInDiscussion|+WordsPerComment|HighCodeChurn|MajorContributor
3_change29,-Cohesion|+Coupling|+Complexity|+Size|+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|+Contributor|MajorContributor
3_change28,-Cohesion|+Complexity|+Size|+WordsInDiscussion|+WordsPerComment|HighHunksCount|MajorContributor|RenameRefactoring
3_change27,-Cohesion|+Coupling|+Complexity|+Size|+WordsInDiscussion|+WordsPerComment|+Contributor|MajorContributor
3_change26,-Cohesion|-Complexity|-Size|+WordsInDiscussion|-WordsPerComment|HighHunksCount|MajorContributor|ExtractionRefactoring
3_change25,+Coupling|+Complexity|MajorContributor
